33873569,Jan/02/2018 23:51,yugle7,799D - Field expansion,Python 3,Accepted,93 ms,7100 KB,2018-01-02 23:51:00
41130036,Aug/02/2018 19:45,Ali_Pi#,799D - Field expansion,Python 2,Accepted,218 ms,2900 KB,2018-08-02 19:45:00
57769894,Jul/26/2019 02:35,py_ultron,799D - Field expansion,GNU C++11,Accepted,109 ms,400 KB,2019-07-26 02:35:00
52298302,Apr/04/2019 10:31,continuity,799D - Field expansion,GNU C++17,Accepted,93 ms,400 KB,2019-04-04 10:31:00
57874751,Jul/28/2019 07:30,lopare,799D - Field expansion,GNU C++11,Accepted,109 ms,400 KB,2019-07-28 07:30:00
27117500,May/15/2017 11:06,179000,799D - Field expansion,GNU C++11,Accepted,109 ms,400 KB,2017-05-15 11:06:00
27119498,May/15/2017 13:36,Raqiah,799D - Field expansion,GNU C++11,Accepted,109 ms,400 KB,2017-05-15 13:36:00
27117478,May/15/2017 11:03,179000,799D - Field expansion,GNU C++11,Accepted,124 ms,400 KB,2017-05-15 11:03:00
38569987,May/23/2018 21:28,vjudge5,799D - Field expansion,GNU C++11,Accepted,46 ms,800 KB,2018-05-23 21:28:00
55864819,Jun/21/2019 14:32,scientificuber,799D - Field expansion,GNU C++14,Accepted,46 ms,800 KB,2019-06-21 14:32:00
27105752,May/14/2017 14:37,865143034,799D - Field expansion,GNU C++11,Accepted,124 ms,800 KB,2017-05-14 14:37:00
41544314,Aug/13/2018 05:59,Onesh0t,799D - Field expansion,PyPy 2,Accepted,234 ms,4900 KB,2018-08-13 05:59:00
34597599,Jan/27/2018 10:21,zhouyuyang,799D - Field expansion,GNU C++11,Accepted,31 ms,2400 KB,2018-01-27 10:21:00
38569967,May/23/2018 21:26,vjudge4,799D - Field expansion,GNU C++11,Accepted,46 ms,800 KB,2018-05-23 21:26:00
69180951,Jan/20/2020 13:07,YJU,799D - Field expansion,GNU C++17,Accepted,46 ms,400 KB,2020-01-20 13:07:00
27024701,May/11/2017 19:25,rowdark,799D - Field expansion,GNU C++11,Accepted,15 ms,200 KB,2017-05-11 19:25:00
27197362,May/18/2017 16:18,vjudge4,799D - Field expansion,GNU C++,Accepted,31 ms,800 KB,2017-05-18 16:18:00
27067317,May/13/2017 05:36,liangziqi,799D - Field expansion,GNU C++11,Accepted,31 ms,800 KB,2017-05-13 05:36:00
27056208,May/12/2017 17:18,snowflake,799D - Field expansion,GNU C++11,Accepted,15 ms,200 KB,2017-05-12 17:18:00
27071498,May/13/2017 11:33,WickedGame,799D - Field expansion,GNU C++11,Accepted,15 ms,200 KB,2017-05-13 11:33:00
28780788,Jul/22/2017 17:18,monk_z,799D - Field expansion,GNU C++14,Accepted,15 ms,2300 KB,2017-07-22 17:18:00
27047067,May/12/2017 08:09,lzr_010506,799D - Field expansion,GNU C++11,Accepted,31 ms,200 KB,2017-05-12 08:09:00
71228095,Feb/16/2020 17:19,soumik33,799D - Field expansion,GNU C++17,Accepted,46 ms,800 KB,2020-02-16 17:19:00
65713127,Nov/25/2019 18:15,icecuber#,799D - Field expansion,GNU C++14,Accepted,109 ms,7500 KB,2019-11-25 18:15:00
27480611,Jun/01/2017 11:31,Taxman,799D - Field expansion,GNU C++,Accepted,30 ms,400 KB,2017-06-01 11:31:00
27048271,May/12/2017 09:40,smilesum,799D - Field expansion,GNU C++11,Accepted,15 ms,200 KB,2017-05-12 09:40:00
27041499,May/11/2017 23:20,aayush9,799D - Field expansion,GNU C++14,Accepted,77 ms,900 KB,2017-05-11 23:20:00
27660610,Jun/08/2017 03:36,I_Love_Umirzhanova_Amina,799D - Field expansion,GNU C++14,Accepted,78 ms,900 KB,2017-06-08 03:36:00
27314149,May/24/2017 08:04,aadishj02,799D - Field expansion,GNU C++14,Accepted,78 ms,400 KB,2017-05-24 08:04:00
27115012,May/15/2017 06:29,CookieDude,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-15 06:29:00
38569893,May/23/2018 21:22,vjudge4,799D - Field expansion,GNU C++11,Accepted,46 ms,800 KB,2018-05-23 21:22:00
27316612,May/24/2017 11:22,xiang578,799D - Field expansion,GNU C++11,Accepted,124 ms,1400 KB,2017-05-24 11:22:00
27924793,Jun/20/2017 15:20,XJT,799D - Field expansion,GNU C++11,Accepted,15 ms,2800 KB,2017-06-20 15:20:00
40812753,Jul/26/2018 21:27,crathva,799D - Field expansion,GNU C++17,Accepted,46 ms,400 KB,2018-07-26 21:27:00
27032473,May/11/2017 20:10,RedNextCentury,799D - Field expansion,GNU C++11,Accepted,93 ms,39100 KB,2017-05-11 20:10:00
27050059,May/12/2017 11:37,kastarino,799D - Field expansion,GNU C++,Accepted,62 ms,39100 KB,2017-05-12 11:37:00
27169731,May/17/2017 02:24,denny_sem,799D - Field expansion,PyPy 3,Accepted,171 ms,7000 KB,2017-05-17 02:24:00
27238376,May/20/2017 20:41,kuko-,799D - Field expansion,GNU C++14,Accepted,30 ms,400 KB,2017-05-20 20:41:00
27363973,May/27/2017 00:17,Hamzqq9,799D - Field expansion,GNU C++,Accepted,62 ms,20000 KB,2017-05-27 00:17:00
29903852,Aug/30/2017 01:35,stilinskiy,799D - Field expansion,GNU C++14,Accepted,124 ms,43000 KB,2017-08-30 01:35:00
38569878,May/23/2018 21:21,wzz-huchi,799D - Field expansion,GNU C++14,Accepted,46 ms,800 KB,2018-05-23 21:21:00
36323892,Mar/16/2018 14:24,easyhoon,799D - Field expansion,GNU C++14,Accepted,920 ms,4100 KB,2018-03-16 14:24:00
27128064,May/15/2017 18:34,erfre,799D - Field expansion,GNU C++14,Accepted,31 ms,800 KB,2017-05-15 18:34:00
27172316,May/17/2017 08:03,hippopmonkey,799D - Field expansion,GNU C++14,Accepted,46 ms,1600 KB,2017-05-17 08:03:00
61723590,Oct/02/2019 17:32,Yuki726,799D - Field expansion,GNU C++14,Accepted,93 ms,18000 KB,2019-10-02 17:32:00
27049091,May/12/2017 10:34,emofunc,799D - Field expansion,GNU C++11,Accepted,30 ms,300 KB,2017-05-12 10:34:00
64197563,Nov/04/2019 13:19,"ouuan txdy: EternalAlexander, ustze#",799D - Field expansion,GNU C++11,Accepted,62 ms,35600 KB,2019-11-04 13:19:00
29255030,Aug/07/2017 09:25,hicodeworld,799D - Field expansion,GNU C++11,Accepted,46 ms,2400 KB,2017-08-07 09:25:00
