29286739,Aug/08/2017 17:02,rajat1603,838D - Airplane Arrangements,PyPy 2,Accepted,124 ms,21400 KB,2017-08-08 17:02:00
29312403,Aug/09/2017 22:09,LHiC,838D - Airplane Arrangements,PyPy 3,Accepted,140 ms,22600 KB,2017-08-09 22:09:00
30767761,Sep/27/2017 07:55,Magolor,838D - Airplane Arrangements,GNU C,Accepted,15 ms,0 KB,2017-09-27 07:55:00
30767781,Sep/27/2017 07:57,vjudge3,838D - Airplane Arrangements,GNU C,Accepted,15 ms,0 KB,2017-09-27 07:57:00
57769364,Jul/26/2019 02:07,py_ultron,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-07-26 02:07:00
31117370,Oct/07/2017 16:57,fatego,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,0 KB,2017-10-07 16:57:00
39853394,Jul/02/2018 03:13,handsomeIvan,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2018-07-02 03:13:00
57873772,Jul/28/2019 06:50,lopare,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 06:50:00
34210800,Jan/16/2018 05:02,zhouyuyang,838D - Airplane Arrangements,GNU C++11,Accepted,15 ms,2000 KB,2018-01-16 05:02:00
56824024,Jul/11/2019 05:51,20172512liushuo,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-07-11 05:51:00
29372613,Aug/12/2017 11:28,mohamedhabila,838D - Airplane Arrangements,Python 3,Accepted,62 ms,4500 KB,2017-08-12 11:28:00
29712546,Aug/23/2017 19:24,TadijaSebez,838D - Airplane Arrangements,GNU C++11,Accepted,15 ms,0 KB,2017-08-23 19:24:00
80559743,May/18/2020 03:15,widsnoy,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,3600 KB,2020-05-18 03:15:00
49834362,Feb/12/2019 18:25,Stalin.,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2019-02-12 18:25:00
56020619,Jun/25/2019 05:57,xielinhan,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-06-25 05:57:00
40391788,Jul/16/2018 04:33,vjudge1,838D - Airplane Arrangements,MS C++,Accepted,31 ms,0 KB,2018-07-16 04:33:00
39821511,Jul/01/2018 15:44,vjudge4,838D - Airplane Arrangements,GNU C++14,Accepted,31 ms,0 KB,2018-07-01 15:44:00
41954572,Aug/22/2018 08:30,lintoto,838D - Airplane Arrangements,GNU C++17,Accepted,31 ms,0 KB,2018-08-22 08:30:00
54702025,May/27/2019 04:02,luogu_bot3,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-05-27 04:02:00
39860001,Jul/02/2018 10:14,litble,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,300 KB,2018-07-02 10:14:00
42548217,Sep/06/2018 13:26,teafrogsf,838D - Airplane Arrangements,GNU C++14,Accepted,46 ms,0 KB,2018-09-06 13:26:00
29269910,Aug/07/2017 20:35,TShT#,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 20:35:00
29265141,Aug/07/2017 15:55,libra9z,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-07 15:55:00
29272264,Aug/07/2017 23:10,Noam527,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,2100 KB,2017-08-07 23:10:00
29283019,Aug/08/2017 13:28,Hank2006#,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,2100 KB,2017-08-08 13:28:00
62605018,Oct/15/2019 10:23,Kylin_,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-10-15 10:23:00
29526761,Aug/17/2017 16:06,gjghfd,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,0 KB,2017-08-17 16:06:00
39816479,Jul/01/2018 11:51,_LowestJN,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-07-01 11:51:00
41290236,Aug/07/2018 05:14,Melody_,838D - Airplane Arrangements,GNU C++,Accepted,46 ms,0 KB,2018-08-07 05:14:00
48410169,Jan/15/2019 10:12,nickIuo,838D - Airplane Arrangements,GNU C++14,Accepted,46 ms,0 KB,2019-01-15 10:12:00
37499852,Apr/21/2018 02:57,Worldwide_D,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,3700 KB,2018-04-21 02:57:00
54702017,May/27/2019 04:01,Mirach,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2019-05-27 04:01:00
32732212,Nov/27/2017 20:59,realcomplex,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-11-27 20:59:00
29274956,Aug/08/2017 04:02,BobHuang,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-08 04:02:00
29289926,Aug/08/2017 19:51,nhho,838D - Airplane Arrangements,GNU C++,Accepted,15 ms,2100 KB,2017-08-08 19:51:00
41260811,Aug/06/2018 05:35,orange1,838D - Airplane Arrangements,GNU C++,Accepted,31 ms,0 KB,2018-08-06 05:35:00
39799153,Jun/30/2018 16:27,river11355,838D - Airplane Arrangements,GNU C++11,Accepted,31 ms,0 KB,2018-06-30 16:27:00
29306002,Aug/09/2017 15:44,just_soso,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-09 15:44:00
29366414,Aug/12/2017 05:17,tigerwx,838D - Airplane Arrangements,GNU C++14,Accepted,15 ms,1900 KB,2017-08-12 05:17:00
