31439610,Oct/17/2017 08:52,ytz123,876F - High Cry,Python 2,Accepted,498 ms,18400 KB,2017-10-17 08:52:00
57768816,Jul/26/2019 01:39,py_ultron,875D - High Cry,GNU C++11,Accepted,436 ms,7100 KB,2019-07-26 01:39:00
31428746,Oct/16/2017 21:08,siddhant22,876F - High Cry,Python 3,Accepted,842 ms,21200 KB,2017-10-16 21:08:00
44403579,Oct/16/2018 16:55,xuzhiyuan,875D - High Cry,GNU C++11,Accepted,436 ms,7100 KB,2018-10-16 16:55:00
44405093,Oct/16/2018 17:30,xuzhiyuan,875D - High Cry,GNU C++11,Accepted,436 ms,4700 KB,2018-10-16 17:30:00
57872860,Jul/28/2019 06:08,lopare,875D - High Cry,GNU C++11,Accepted,451 ms,7100 KB,2019-07-28 06:08:00
44403387,Oct/16/2018 16:51,xzy_test,875D - High Cry,GNU C++11,Accepted,452 ms,7100 KB,2018-10-16 16:51:00
39011089,Jun/07/2018 10:02,Ali_Pi#,875D - High Cry,GNU C++17,Accepted,420 ms,7100 KB,2018-06-07 10:02:00
31466939,Oct/18/2017 05:46,I_Love_Umirzhanova_Amina,875D - High Cry,GNU C++14,Accepted,405 ms,8900 KB,2017-10-18 05:46:00
31701662,Oct/25/2017 10:25,Perfectxx,875D - High Cry,GNU C++14,Accepted,405 ms,7100 KB,2017-10-25 10:25:00
31880111,Oct/30/2017 05:35,csfxjtu,875D - High Cry,GNU C++11,Accepted,483 ms,7100 KB,2017-10-30 05:35:00
31416622,Oct/16/2017 18:34,BackOnTrack,876F - High Cry,GNU C++14,Accepted,421 ms,8900 KB,2017-10-16 18:34:00
31484704,Oct/18/2017 18:06,XORier,875D - High Cry,GNU C++14,Accepted,421 ms,8900 KB,2017-10-18 18:06:00
31427102,Oct/16/2017 20:09,OMRailgun,876F - High Cry,GNU C++14,Accepted,62 ms,4200 KB,2017-10-16 20:09:00
31426947,Oct/16/2017 20:04,0MRailgun,876F - High Cry,GNU C++14,Accepted,62 ms,4200 KB,2017-10-16 20:04:00
31452879,Oct/17/2017 17:52,ITer,875D - High Cry,GNU C++14,Accepted,78 ms,6600 KB,2017-10-17 17:52:00
78072153,Apr/26/2020 02:39,ahmed_nabiil,876F - High Cry,GNU C++17,Accepted,374 ms,7300 KB,2020-04-26 02:39:00
78072472,Apr/26/2020 02:50,ahmed_nabiil,876F - High Cry,GNU C++17,Accepted,374 ms,7100 KB,2020-04-26 02:50:00
31427673,Oct/16/2017 20:29,joker_in,876F - High Cry,GNU C++14,Accepted,421 ms,8900 KB,2017-10-16 20:29:00
31438266,Oct/17/2017 07:36,joker_in,876F - High Cry,GNU C++14,Accepted,405 ms,8900 KB,2017-10-17 07:36:00
40247056,Jul/13/2018 05:14,vjudge5,875D - High Cry,GNU C++,Accepted,62 ms,23500 KB,2018-07-13 05:14:00
31429265,Oct/16/2017 21:29,kingside,875D - High Cry,GNU C++11,Accepted,514 ms,6800 KB,2017-10-16 21:29:00
31492642,Oct/18/2017 23:12,itachi,875D - High Cry,GNU C++14,Accepted,93 ms,6600 KB,2017-10-18 23:12:00
31539952,Oct/20/2017 19:28,aayush9,876F - High Cry,GNU C++14,Accepted,78 ms,6600 KB,2017-10-20 19:28:00
