41495720,Aug/11/2018 18:22,yugle7,912D - Fishes,Python 3,Accepted,561 ms,4200 KB,2018-08-11 18:22:00
41490126,Aug/11/2018 17:45,yugle7,912D - Fishes,PyPy 3,Accepted,904 ms,17500 KB,2018-08-11 17:45:00
57768265,Jul/26/2019 01:14,py_ultron,912D - Fishes,GNU C++11,Accepted,31 ms,1500 KB,2019-07-26 01:14:00
34065978,Jan/10/2018 12:45,AMnu,912D - Fishes,GNU C++14,Accepted,15 ms,3400 KB,2018-01-10 12:45:00
57871921,Jul/28/2019 05:28,lopare,912D - Fishes,GNU C++11,Accepted,31 ms,1500 KB,2019-07-28 05:28:00
33955241,Jan/06/2018 07:34,lajiyuan,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-06 07:34:00
33974391,Jan/07/2018 03:19,riverwalk7,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-07 03:19:00
33974394,Jan/07/2018 03:19,riverwalk7#,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-07 03:19:00
33990967,Jan/08/2018 00:05,ExcelPro,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-08 00:05:00
57485532,Jul/22/2019 08:07,clya2004,912D - Fishes,GNU C++14,Accepted,124 ms,16100 KB,2019-07-22 08:07:00
34117780,Jan/13/2018 06:15,AMnu,912D - Fishes,GNU C++14,Accepted,15 ms,3400 KB,2018-01-13 06:15:00
34226277,Jan/16/2018 18:52,avinash.ac04,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-16 18:52:00
33953571,Jan/06/2018 04:35,applese,912D - Fishes,GNU C++14,Accepted,124 ms,18000 KB,2018-01-06 04:35:00
41923255,Aug/21/2018 09:00,lixinyue,912D - Fishes,GNU C++17,Accepted,140 ms,16100 KB,2018-08-21 09:00:00
34254088,Jan/17/2018 17:19,Momentum,912D - Fishes,GNU C++14,Accepted,46 ms,6100 KB,2018-01-17 17:19:00
33952970,Jan/06/2018 02:57,ac_fun,912D - Fishes,GNU C++11,Accepted,46 ms,6600 KB,2018-01-06 02:57:00
33954750,Jan/06/2018 06:43,autumn_eel,912D - Fishes,GNU C++14,Accepted,124 ms,17400 KB,2018-01-06 06:43:00
33960515,Jan/06/2018 13:08,xmhuangzhen,912D - Fishes,GNU C++11,Accepted,124 ms,18000 KB,2018-01-06 13:08:00
33937040,Jan/05/2018 18:23,xymtxdy,912D - Fishes,GNU C++,Accepted,31 ms,6700 KB,2018-01-05 18:23:00
36639451,Mar/26/2018 14:00,vlados1488,912D - Fishes,GNU C++14,Accepted,46 ms,8200 KB,2018-03-26 14:00:00
33931105,Jan/05/2018 17:54,WZYYN,912D - Fishes,GNU C++11,Accepted,46 ms,6300 KB,2018-01-05 17:54:00
33932813,Jan/05/2018 18:01,Ratel,912D - Fishes,GNU C++14,Accepted,46 ms,8100 KB,2018-01-05 18:01:00
34439143,Jan/22/2018 11:49,rareone0602,912D - Fishes,GNU C++14,Accepted,15 ms,2000 KB,2018-01-22 11:49:00
33950516,Jan/05/2018 22:58,saba2000,912D - Fishes,GNU C++14,Accepted,31 ms,5800 KB,2018-01-05 22:58:00
40045176,Jul/07/2018 00:41,Bengal_Tiger,912D - Fishes,GNU C++11,Accepted,46 ms,4000 KB,2018-07-07 00:41:00
33957737,Jan/06/2018 10:13,Jori,912D - Fishes,GNU C++11,Accepted,124 ms,18000 KB,2018-01-06 10:13:00
33942019,Jan/05/2018 19:03,liji,912D - Fishes,GNU C++,Accepted,124 ms,14500 KB,2018-01-05 19:03:00
34337922,Jan/20/2018 07:24,FoolMike,912D - Fishes,GNU C++11,Accepted,93 ms,14500 KB,2018-01-20 07:24:00
34901794,Feb/03/2018 20:38,TadijaSebez,912D - Fishes,GNU C++14,Accepted,171 ms,28000 KB,2018-02-03 20:38:00
33995540,Jan/08/2018 04:21,nqiiii,912D - Fishes,GNU C++14,Accepted,124 ms,20000 KB,2018-01-08 04:21:00
59901554,Sep/02/2019 16:51,N-Zoth,912D - Fishes,GNU C++11,Accepted,140 ms,18100 KB,2019-09-02 16:51:00
33986879,Jan/07/2018 19:11,rawatds,912D - Fishes,GNU C++14,Accepted,46 ms,8000 KB,2018-01-07 19:11:00
34117309,Jan/13/2018 05:20,szawinis,912D - Fishes,GNU C++14,Accepted,31 ms,11100 KB,2018-01-13 05:20:00
33955610,Jan/06/2018 08:03,AlanWaP,912D - Fishes,GNU C++11,Accepted,46 ms,8200 KB,2018-01-06 08:03:00
34968657,Feb/06/2018 14:29,ts_,912D - Fishes,GNU C++11,Accepted,31 ms,7000 KB,2018-02-06 14:29:00
33972749,Jan/07/2018 00:10,zdw1999,912D - Fishes,GNU C++,Accepted,31 ms,6600 KB,2018-01-07 00:10:00
33983965,Jan/07/2018 16:39,OmarHashim,912D - Fishes,GNU C++14,Accepted,46 ms,6900 KB,2018-01-07 16:39:00
59887994,Sep/02/2019 12:00,Crabby_Maskiv,912D - Fishes,GNU C++14,Accepted,140 ms,16100 KB,2019-09-02 12:00:00
34047058,Jan/09/2018 14:29,xiaowuga,912D - Fishes,GNU C++14,Accepted,156 ms,22300 KB,2018-01-09 14:29:00
57485613,Jul/22/2019 08:09,clya2004,912D - Fishes,GNU C++14,Accepted,124 ms,16100 KB,2019-07-22 08:09:00
33955329,Jan/06/2018 07:41,CrazySea,912D - Fishes,GNU C++11,Accepted,77 ms,6600 KB,2018-01-06 07:41:00
33965073,Jan/06/2018 18:00,First4196,912D - Fishes,GNU C++14,Accepted,15 ms,5000 KB,2018-01-06 18:00:00
33939239,Jan/05/2018 18:39,* wakaka,912D - Fishes,GNU C++14,Accepted,46 ms,6100 KB,2018-01-05 18:39:00
63632834,Oct/28/2019 10:03,dontquit#,912D - Fishes,GNU C++17,Accepted,46 ms,10200 KB,2019-10-28 10:03:00
39207877,Jun/13/2018 09:35,vjudge1,912D - Fishes,GNU C++14,Accepted,62 ms,7800 KB,2018-06-13 09:35:00
34544275,Jan/25/2018 14:34,Scut82,912D - Fishes,GNU C++,Accepted,31 ms,5900 KB,2018-01-25 14:34:00
43932128,Oct/07/2018 10:45,jangjie,912D - Fishes,GNU C++11,Accepted,93 ms,14800 KB,2018-10-07 10:45:00
34996302,Feb/07/2018 14:25,badeaadi,912D - Fishes,GNU C++,Accepted,62 ms,9900 KB,2018-02-07 14:25:00
33941595,Jan/05/2018 18:59,* mxzf0213,912D - Fishes,GNU C++11,Accepted,31 ms,5900 KB,2018-01-05 18:59:00
33961896,Jan/06/2018 14:49,zydsgwan,912D - Fishes,GNU C++14,Accepted,46 ms,8900 KB,2018-01-06 14:49:00
40045896,Jul/07/2018 01:34,Bengal_Tiger,912D - Fishes,GNU C++11,Accepted,46 ms,3900 KB,2018-07-07 01:34:00
59887887,Sep/02/2019 11:57,luogu_bot1,912D - Fishes,GNU C++11,Accepted,124 ms,16000 KB,2019-09-02 11:57:00
34173619,Jan/14/2018 14:41,Jane0415,912D - Fishes,GNU C++14,Accepted,31 ms,5800 KB,2018-01-14 14:41:00
34272755,Jan/18/2018 13:12,lujiaju,912D - Fishes,GNU C++,Accepted,171 ms,22300 KB,2018-01-18 13:12:00
57485675,Jul/22/2019 08:12,clya2004,912D - Fishes,GNU C++14,Accepted,139 ms,16100 KB,2019-07-22 08:12:00
34719355,Jan/30/2018 22:19,div24ever,912D - Fishes,GNU C++14,Accepted,124 ms,15500 KB,2018-01-30 22:19:00
33933403,Jan/05/2018 18:03,* palayutm,912D - Fishes,GNU C++14,Accepted,140 ms,15500 KB,2018-01-05 18:03:00
33939373,Jan/05/2018 18:40,a409257934,912D - Fishes,GNU C++14,Accepted,31 ms,3400 KB,2018-01-05 18:40:00
34191797,Jan/15/2018 11:24,HolyMissOne,912D - Fishes,GNU C++14,Accepted,140 ms,18000 KB,2018-01-15 11:24:00
43377840,Sep/24/2018 20:14,Martin53,912D - Fishes,GNU C++17,Accepted,124 ms,16000 KB,2018-09-24 20:14:00
41397663,Aug/09/2018 14:59,E869120,912D - Fishes,GNU C++14,Accepted,46 ms,8100 KB,2018-08-09 14:59:00
33930120,Jan/05/2018 17:52,* ksun48,912D - Fishes,GNU C++14,Accepted,156 ms,20100 KB,2018-01-05 17:52:00
60072100,Sep/05/2019 14:28,luogu_bot4,912D - Fishes,GNU C++11,Accepted,124 ms,12800 KB,2019-09-05 14:28:00
33954636,Jan/06/2018 06:33,zzorz,912D - Fishes,GNU C++11,Accepted,155 ms,19000 KB,2018-01-06 06:33:00
57181683,Jul/17/2019 10:27,vjudge3,912D - Fishes,GNU C++11,Accepted,124 ms,17100 KB,2019-07-17 10:27:00
33955223,Jan/06/2018 07:32,zdj199583,912D - Fishes,GNU C++,Accepted,140 ms,18900 KB,2018-01-06 07:32:00
60320642,Sep/09/2019 23:18,pajenegod,912D - Fishes,PyPy 2,Accepted,327 ms,15800 KB,2019-09-09 23:18:00
65414700,Nov/20/2019 09:20,flyFeather,912D - Fishes,GNU C++11,Accepted,124 ms,16000 KB,2019-11-20 09:20:00
36751218,Mar/30/2018 18:15,tsyr8924503,912D - Fishes,GNU C++14,Accepted,124 ms,19400 KB,2018-03-30 18:15:00
59888720,Sep/02/2019 12:21,luogu_bot4,912D - Fishes,GNU C++11,Accepted,140 ms,14800 KB,2019-09-02 12:21:00
34438929,Jan/22/2018 11:41,dafei,912D - Fishes,GNU C++11,Accepted,93 ms,13000 KB,2018-01-22 11:41:00
61925741,Oct/05/2019 17:34,luogu_bot4,912D - Fishes,GNU C++11,Accepted,156 ms,18700 KB,2019-10-05 17:34:00
33938760,Jan/05/2018 18:35,xdc2017,912D - Fishes,GNU C++,Accepted,171 ms,20100 KB,2018-01-05 18:35:00
33954214,Jan/06/2018 05:48,shdut,912D - Fishes,GNU C++11,Accepted,140 ms,17900 KB,2018-01-06 05:48:00
34299685,Jan/19/2018 13:52,Radu_mango,912D - Fishes,GNU C++14,Accepted,46 ms,6600 KB,2018-01-19 13:52:00
33940954,Jan/05/2018 18:53,universe_dawn,912D - Fishes,GNU C++14,Accepted,140 ms,15500 KB,2018-01-05 18:53:00
33945188,Jan/05/2018 19:33,* Starlit,912D - Fishes,GNU C++14,Accepted,140 ms,17900 KB,2018-01-05 19:33:00
33938906,Jan/05/2018 18:36,* sugim48,912D - Fishes,GNU C++14,Accepted,139 ms,14300 KB,2018-01-05 18:36:00
34063724,Jan/10/2018 10:12,RailtonT,912D - Fishes,GNU C++14,Accepted,171 ms,21600 KB,2018-01-10 10:12:00
34227478,Jan/16/2018 19:45,Usu,912D - Fishes,GNU C++11,Accepted,124 ms,15600 KB,2018-01-16 19:45:00
33942763,Jan/05/2018 19:11,saba2000,912D - Fishes,GNU C++14,Accepted,31 ms,5800 KB,2018-01-05 19:11:00
59972088,Sep/04/2019 05:28,cxccxc,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-04 05:28:00
33946052,Jan/05/2018 20:15,Daniar,912D - Fishes,GNU C++14,Accepted,108 ms,17900 KB,2018-01-05 20:15:00
59947442,Sep/03/2019 16:26,luogu_bot3,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-03 16:26:00
35334358,Feb/16/2018 13:57,falseangel,912D - Fishes,GNU C++14,Accepted,109 ms,15500 KB,2018-02-16 13:57:00
34275946,Jan/18/2018 15:48,Will-I-Am,912D - Fishes,GNU C++,Accepted,46 ms,9900 KB,2018-01-18 15:48:00
40475768,Jul/17/2018 14:47,vjudge4,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2018-07-17 14:47:00
59905710,Sep/02/2019 18:17,luogu_bot5,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-02 18:17:00
36134424,Mar/10/2018 05:36,zhuwanman,912D - Fishes,GNU C++,Accepted,109 ms,16600 KB,2018-03-10 05:36:00
33939291,Jan/05/2018 18:39,* gs12117,912D - Fishes,GNU C++14,Accepted,31 ms,6500 KB,2018-01-05 18:39:00
34216652,Jan/16/2018 11:35,DOUB7E,912D - Fishes,GNU C++14,Accepted,124 ms,15500 KB,2018-01-16 11:35:00
36407037,Mar/19/2018 12:48,vjudge1,912D - Fishes,GNU C++17,Accepted,124 ms,18100 KB,2018-03-19 12:48:00
33936192,Jan/05/2018 18:18,anger_of_singledogs,912D - Fishes,GNU C++11,Accepted,108 ms,14500 KB,2018-01-05 18:18:00
34437130,Jan/22/2018 10:44,Kush.code,912D - Fishes,GNU C++14,Accepted,140 ms,12400 KB,2018-01-22 10:44:00
34800976,Feb/01/2018 14:51,JordiR,912D - Fishes,GNU C++11,Accepted,140 ms,17500 KB,2018-02-01 14:51:00
36070615,Mar/08/2018 15:32,anxcf,912D - Fishes,GNU C++11,Accepted,31 ms,11200 KB,2018-03-08 15:32:00
34959414,Feb/06/2018 05:42,zhaimingshuzms#,912D - Fishes,GNU C++14,Accepted,124 ms,24600 KB,2018-02-06 05:42:00
35340424,Feb/16/2018 17:27,veckal,912D - Fishes,GNU C++14,Accepted,109 ms,17900 KB,2018-02-16 17:27:00
33938598,Jan/05/2018 18:34,* gisp_zjz,912D - Fishes,GNU C++14,Accepted,46 ms,5800 KB,2018-01-05 18:34:00
34109039,Jan/12/2018 17:58,HumptyDumpty,912D - Fishes,GNU C++14,Accepted,46 ms,6100 KB,2018-01-12 17:58:00
78355252,Apr/28/2020 10:12,chirag11032000,912D - Fishes,GNU C++17 (64),Accepted,78 ms,11600 KB,2020-04-28 10:12:00
59934819,Sep/03/2019 12:03,wxt__t,912D - Fishes,GNU C++11,Accepted,140 ms,12700 KB,2019-09-03 12:03:00
38002926,May/07/2018 20:12,DeadPillow,912D - Fishes,GNU C++14,Accepted,61 ms,7600 KB,2018-05-07 20:12:00
33974020,Jan/07/2018 02:26,dragonslayerintraining,912D - Fishes,GNU C++11,Accepted,61 ms,8700 KB,2018-01-07 02:26:00
59925718,Sep/03/2019 06:51,Home3,912D - Fishes,GNU C++11,Accepted,124 ms,10400 KB,2019-09-03 06:51:00
33960777,Jan/06/2018 13:27,rainy_season,912D - Fishes,GNU C++,Accepted,15 ms,8200 KB,2018-01-06 13:27:00
33996512,Jan/08/2018 06:46,vjudge1,912D - Fishes,GNU C++,Accepted,109 ms,14500 KB,2018-01-08 06:46:00
33954803,Jan/06/2018 06:48,orzcycyc,912D - Fishes,GNU C++14,Accepted,93 ms,14500 KB,2018-01-06 06:48:00
56041012,Jun/25/2019 17:20,sagarnikamf72,912D - Fishes,GNU C++14,Accepted,124 ms,18300 KB,2019-06-25 17:20:00
59888636,Sep/02/2019 12:18,OrzCrabby_Maskiv,912D - Fishes,GNU C++11,Accepted,124 ms,12800 KB,2019-09-02 12:18:00
52421042,Apr/06/2019 20:07,markotee,912D - Fishes,GNU C++17,Accepted,187 ms,19000 KB,2019-04-06 20:07:00
56378190,Jul/01/2019 10:23,whyamievenhere,912D - Fishes,GNU C++14,Accepted,140 ms,18300 KB,2019-07-01 10:23:00
33940103,Jan/05/2018 18:46,aayush9,912D - Fishes,GNU C++14,Accepted,77 ms,16000 KB,2018-01-05 18:46:00
34926869,Feb/04/2018 19:48,jainor,912D - Fishes,GNU C++11,Accepted,124 ms,15600 KB,2018-02-04 19:48:00
33962601,Jan/06/2018 15:31,PRT,912D - Fishes,GNU C++14,Accepted,124 ms,22400 KB,2018-01-06 15:31:00
33942038,Jan/05/2018 19:03,* JHSN,912D - Fishes,GNU C++11,Accepted,31 ms,3500 KB,2018-01-05 19:03:00
33940494,Jan/05/2018 18:49,* Efina,912D - Fishes,GNU C++11,Accepted,93 ms,16800 KB,2018-01-05 18:49:00
33978178,Jan/07/2018 10:33,Pepcy_Ch,912D - Fishes,GNU C++11,Accepted,31 ms,11200 KB,2018-01-07 10:33:00
34003452,Jan/08/2018 15:36,thelonesailor,912D - Fishes,GNU C++11,Accepted,31 ms,5900 KB,2018-01-08 15:36:00
50672457,Mar/02/2019 10:43,eecs,912D - Fishes,GNU C++11,Accepted,31 ms,1000 KB,2019-03-02 10:43:00
33935911,Jan/05/2018 18:16,* greenSnail,912D - Fishes,GNU C++14,Accepted,46 ms,6600 KB,2018-01-05 18:16:00
33945836,Jan/05/2018 20:13,Artistic_Fantasy,912D - Fishes,GNU C++14,Accepted,30 ms,2000 KB,2018-01-05 20:13:00
74044012,Mar/23/2020 17:00,NocturneBflat,912D - Fishes,PyPy 3,Accepted,858 ms,51700 KB,2020-03-23 17:00:00
34339143,Jan/20/2018 08:26,mochavic#,912D - Fishes,GNU C++11,Accepted,109 ms,14500 KB,2018-01-20 08:26:00
34515873,Jan/24/2018 15:09,Icgapux,912D - Fishes,GNU C++14,Accepted,31 ms,11100 KB,2018-01-24 15:09:00
40470366,Jul/17/2018 12:05,tusikalanse,912D - Fishes,GNU C++17,Accepted,93 ms,12900 KB,2018-07-17 12:05:00
33954930,Jan/06/2018 07:04,vjudge5,912D - Fishes,GNU C++,Accepted,108 ms,16600 KB,2018-01-06 07:04:00
59925909,Sep/03/2019 07:00,vjudge3,912D - Fishes,GNU C++11,Accepted,109 ms,12800 KB,2019-09-03 07:00:00
60051378,Sep/05/2019 03:47,luogu_bot1,912D - Fishes,GNU C++11,Accepted,93 ms,17800 KB,2019-09-05 03:47:00
46854282,Dec/10/2018 16:53,MarcoXerox,912D - Fishes,GNU C++17,Accepted,156 ms,21200 KB,2018-12-10 16:53:00
59925301,Sep/03/2019 06:27,rdfzXR,912D - Fishes,GNU C++11,Accepted,124 ms,12800 KB,2019-09-03 06:27:00
