73302890,Mar/15/2020 07:59,Korica,939D - Love Rescue,Python 3,Accepted,1013 ms,1700 KB,2020-03-15 07:59:00
73945661,Mar/22/2020 12:01,jatinjeena,939D - Love Rescue,PyPy 3,Accepted,202 ms,7600 KB,2020-03-22 12:01:00
35553930,Feb/21/2018 19:27,shantihhillalex#,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-02-21 19:27:00
35897989,Mar/03/2018 21:11,_____i_____,939D - Love Rescue,GNU C++11,Accepted,46 ms,2400 KB,2018-03-03 21:11:00
59769015,Aug/30/2019 22:11,John46,939D - Love Rescue,GNU C++11,Accepted,62 ms,400 KB,2019-08-30 22:11:00
40173646,Jul/10/2018 16:48,vjudge4,939D - Love Rescue,GNU C++,Accepted,77 ms,200 KB,2018-07-10 16:48:00
40172845,Jul/10/2018 16:24,vjudge1,939D - Love Rescue,GNU C++,Accepted,61 ms,200 KB,2018-07-10 16:24:00
40173068,Jul/10/2018 16:31,vjudge4,939D - Love Rescue,GNU C++,Accepted,62 ms,200 KB,2018-07-10 16:31:00
40173126,Jul/10/2018 16:33,vjudge1,939D - Love Rescue,GNU C++,Accepted,62 ms,200 KB,2018-07-10 16:33:00
53308597,Apr/26/2019 07:49,vjudge1,939D - Love Rescue,GNU C++11,Accepted,62 ms,200 KB,2019-04-26 07:49:00
52797929,Apr/16/2019 01:58,vjudge3,939D - Love Rescue,GNU C++17,Accepted,61 ms,400 KB,2019-04-16 01:58:00
35398696,Feb/17/2018 13:38,nqiiii,939D - Love Rescue,GNU C++14,Accepted,15 ms,3800 KB,2018-02-17 13:38:00
35511104,Feb/20/2018 07:27,comalmot,939D - Love Rescue,GNU C++14,Accepted,31 ms,3800 KB,2018-02-20 07:27:00
35540687,Feb/21/2018 10:39,Spectre101,939D - Love Rescue,GNU C++14,Accepted,15 ms,3800 KB,2018-02-21 10:39:00
57870301,Jul/28/2019 04:11,lopare,939D - Love Rescue,GNU C++11,Accepted,31 ms,1800 KB,2019-07-28 04:11:00
64162985,Nov/03/2019 18:13,himanth,939D - Love Rescue,GNU C++17,Accepted,61 ms,400 KB,2019-11-03 18:13:00
35428622,Feb/17/2018 21:54,Voja03,939D - Love Rescue,GNU C++14,Accepted,15 ms,3800 KB,2018-02-17 21:54:00
35449698,Feb/18/2018 18:13,KOH,939D - Love Rescue,GNU C++,Accepted,15 ms,2000 KB,2018-02-18 18:13:00
35726253,Feb/26/2018 12:22,Apurbo,939D - Love Rescue,GNU C++11,Accepted,46 ms,2500 KB,2018-02-26 12:22:00
36774794,Mar/31/2018 16:13,waura,939D - Love Rescue,Python 3,Accepted,264 ms,7400 KB,2018-03-31 16:13:00
35794674,Feb/28/2018 22:15,badeagl1,939D - Love Rescue,GNU C++14,Accepted,15 ms,3800 KB,2018-02-28 22:15:00
35438159,Feb/18/2018 09:41,jah_melon,939D - Love Rescue,GNU C++,Accepted,46 ms,2400 KB,2018-02-18 09:41:00
37116417,Apr/09/2018 11:28,hatrungquyen,939D - Love Rescue,GNU C++14,Accepted,62 ms,3700 KB,2018-04-09 11:28:00
35824323,Mar/02/2018 06:43,Yee_172,939D - Love Rescue,Python 3,Accepted,623 ms,6000 KB,2018-03-02 06:43:00
62096705,Oct/08/2019 10:47,vjudge4,939D - Love Rescue,GNU C++11,Accepted,46 ms,200 KB,2019-10-08 10:47:00
40173014,Jul/10/2018 16:30,Y3912_,939D - Love Rescue,GNU C++,Accepted,46 ms,200 KB,2018-07-10 16:30:00
63109729,Oct/22/2019 09:52,Kylin_,939D - Love Rescue,GNU C++11,Accepted,31 ms,7700 KB,2019-10-22 09:52:00
40173027,Jul/10/2018 16:30,Y3912_,939D - Love Rescue,GNU C++,Accepted,46 ms,200 KB,2018-07-10 16:30:00
53011655,Apr/19/2019 15:23,scientificuber,939D - Love Rescue,GNU C++11,Accepted,46 ms,400 KB,2019-04-19 15:23:00
35556937,Feb/21/2018 21:41,XuDuSh,939D - Love Rescue,GNU C++14,Accepted,30 ms,2800 KB,2018-02-21 21:41:00
52797905,Apr/16/2019 01:56,mhamed365,939D - Love Rescue,GNU C++17,Accepted,61 ms,400 KB,2019-04-16 01:56:00
35572957,Feb/22/2018 15:35,vjudge5,939D - Love Rescue,GNU C++,Accepted,15 ms,3000 KB,2018-02-22 15:35:00
35563691,Feb/22/2018 06:13,luogu_bot1,939D - Love Rescue,GNU C++,Accepted,15 ms,2800 KB,2018-02-22 06:13:00
35410115,Feb/17/2018 14:35,reader2018,939D - Love Rescue,GNU C++11,Accepted,15 ms,2800 KB,2018-02-17 14:35:00
59088551,Aug/19/2019 14:57,2867275253ygc,939D - Love Rescue,GNU C++14,Accepted,46 ms,1200 KB,2019-08-19 14:57:00
45308086,Nov/05/2018 02:56,Git_Er_Dun,939D - Love Rescue,Python 3,Accepted,171 ms,500 KB,2018-11-05 02:56:00
35411505,Feb/17/2018 14:43,petiteteaparty,939D - Love Rescue,Python 3,Accepted,405 ms,6400 KB,2018-02-17 14:43:00
43415434,Sep/25/2018 18:17,Chloris,939D - Love Rescue,GNU C++17,Accepted,31 ms,200 KB,2018-09-25 18:17:00
35473418,Feb/19/2018 17:35,patiayushg,939D - Love Rescue,Python 3,Accepted,249 ms,6000 KB,2018-02-19 17:35:00
36432377,Mar/20/2018 15:27,GroWIng_,939D - Love Rescue,Python 3,Accepted,265 ms,8300 KB,2018-03-20 15:27:00
43415274,Sep/25/2018 18:12,Chloris,939D - Love Rescue,GNU C++17,Accepted,31 ms,200 KB,2018-09-25 18:12:00
35573413,Feb/22/2018 15:54,Yukki_Asuna,939D - Love Rescue,GNU C++,Accepted,15 ms,2200 KB,2018-02-22 15:54:00
35571528,Feb/22/2018 14:28,Fuko_Ibuki#,939D - Love Rescue,GNU C++11,Accepted,15 ms,3000 KB,2018-02-22 14:28:00
36325661,Mar/16/2018 15:36,luogu_bot2,939D - Love Rescue,GNU C++,Accepted,31 ms,4700 KB,2018-03-16 15:36:00
35572961,Feb/22/2018 15:35,Fuko_Ibuki,939D - Love Rescue,GNU C++11,Accepted,15 ms,3000 KB,2018-02-22 15:35:00
