36125095,Mar/09/2018 20:22,Yee_172,949D - Curfew,Python 3,Accepted,186 ms,12800 KB,2018-03-09 20:22:00
36330513,Mar/16/2018 18:46,genocid,949D - Curfew,Python 3,Accepted,218 ms,14200 KB,2018-03-16 18:46:00
38526488,May/22/2018 10:10,Ali_Pi,949D - Curfew,Python 2,Accepted,217 ms,5700 KB,2018-05-22 10:10:00
57740776,Jul/25/2019 14:23,py_ultron,949D - Curfew,GNU C++11,Accepted,31 ms,800 KB,2019-07-25 14:23:00
64350099,Nov/06/2019 10:59,Phemon,949D - Curfew,GNU C++11,Accepted,31 ms,7800 KB,2019-11-06 10:59:00
36112599,Mar/09/2018 13:38,nbdhhzh,949D - Curfew,GNU C++11,Accepted,30 ms,2900 KB,2018-03-09 13:38:00
45140142,Oct/31/2018 17:08,xielinhan,949D - Curfew,GNU C++11,Accepted,46 ms,800 KB,2018-10-31 17:08:00
57870216,Jul/28/2019 04:06,lopare,949D - Curfew,GNU C++11,Accepted,46 ms,800 KB,2019-07-28 04:06:00
36646947,Mar/26/2018 18:32,liujianbo,949D - Curfew,GNU C++11,Accepted,46 ms,4500 KB,2018-03-26 18:32:00
43525814,Sep/28/2018 14:13,xuzhiyuan,949D - Curfew,GNU C++11,Accepted,187 ms,800 KB,2018-09-28 14:13:00
41951559,Aug/22/2018 04:58,alonefight#,949D - Curfew,GNU C++11,Accepted,46 ms,800 KB,2018-08-22 04:58:00
39976769,Jul/05/2018 11:08,yanyutao,950F - Curfew,FPC,Accepted,46 ms,17300 KB,2018-07-05 11:08:00
38209059,May/14/2018 11:23,yclrz,949D - Curfew,GNU C++11,Accepted,46 ms,4200 KB,2018-05-14 11:23:00
43172559,Sep/21/2018 12:22,luogu_bot4,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-21 12:22:00
36242547,Mar/13/2018 11:46,xiezhiyu,950F - Curfew,GNU C++17,Accepted,46 ms,2600 KB,2018-03-13 11:46:00
61786497,Oct/03/2019 17:35,asdfghjk,949D - Curfew,GNU C++11,Accepted,31 ms,600 KB,2019-10-03 17:35:00
40014812,Jul/06/2018 03:48,zhangyushen,950F - Curfew,GNU C++,Accepted,46 ms,1400 KB,2018-07-06 03:48:00
43237670,Sep/22/2018 11:42,luogu_bot1,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-22 11:42:00
43237651,Sep/22/2018 11:41,Kcer,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-22 11:41:00
57136238,Jul/16/2019 12:00,clya2004,949D - Curfew,GNU C++11,Accepted,31 ms,600 KB,2019-07-16 12:00:00
43245295,Sep/22/2018 14:14,guodx,949D - Curfew,GNU C++11,Accepted,202 ms,1100 KB,2018-09-22 14:14:00
36151028,Mar/10/2018 15:58,cant_worse_more,949D - Curfew,GNU C++11,Accepted,46 ms,2800 KB,2018-03-10 15:58:00
44422883,Oct/17/2018 04:07,luogu_bot4,949D - Curfew,GNU C++11,Accepted,46 ms,600 KB,2018-10-17 04:07:00
43412565,Sep/25/2018 17:04,luogu_bot4,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-25 17:04:00
39985644,Jul/05/2018 16:25,2017wujunmin,950F - Curfew,FPC,Accepted,46 ms,1700 KB,2018-07-05 16:25:00
36332146,Mar/16/2018 19:48,MadCoding,949D - Curfew,GNU C++,Accepted,46 ms,4200 KB,2018-03-16 19:48:00
43172466,Sep/21/2018 12:19,luogu_bot4,949D - Curfew,GNU C++11,Accepted,202 ms,800 KB,2018-09-21 12:19:00
36578068,Mar/24/2018 17:51,Billyshuai,949D - Curfew,GNU C++14,Accepted,46 ms,4300 KB,2018-03-24 17:51:00
39985004,Jul/05/2018 16:02,xiaoqi1-2017,950F - Curfew,GNU C++,Accepted,46 ms,600 KB,2018-07-05 16:02:00
36134293,Mar/10/2018 05:28,SiriusRen,950F - Curfew,GNU C++,Accepted,31 ms,2800 KB,2018-03-10 05:28:00
64354341,Nov/06/2019 12:37,RainyClementine,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2019-11-06 12:37:00
36275078,Mar/14/2018 15:25,HXLLL#,949D - Curfew,GNU C++,Accepted,30 ms,3000 KB,2018-03-14 15:25:00
59196587,Aug/21/2019 05:03,luogu_bot3,949D - Curfew,GNU C++11,Accepted,31 ms,600 KB,2019-08-21 05:03:00
42269538,Aug/30/2018 10:28,moonzero,949D - Curfew,GNU C++,Accepted,46 ms,78300 KB,2018-08-30 10:28:00
43235461,Sep/22/2018 10:55,luogu_bot3,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-09-22 10:55:00
39977679,Jul/05/2018 11:38,TheGodOfClash,950F - Curfew,GNU C++17,Accepted,61 ms,1100 KB,2018-07-05 11:38:00
51473180,Mar/19/2019 10:51,yzyyylx,949D - Curfew,GNU C++11,Accepted,46 ms,400 KB,2019-03-19 10:51:00
36212853,Mar/12/2018 03:59,Roundgod,949D - Curfew,GNU C++11,Accepted,31 ms,9900 KB,2018-03-12 03:59:00
39987376,Jul/05/2018 17:34,zhouzj,950F - Curfew,GNU C++,Accepted,46 ms,1400 KB,2018-07-05 17:34:00
55991622,Jun/24/2019 10:58,xielinhan,949D - Curfew,GNU C++11,Accepted,46 ms,400 KB,2019-06-24 10:58:00
36242797,Mar/13/2018 11:59,poorpool,950F - Curfew,GNU C++,Accepted,46 ms,2800 KB,2018-03-13 11:59:00
36269817,Mar/14/2018 12:22,w446506278,949D - Curfew,GNU C++14,Accepted,31 ms,2800 KB,2018-03-14 12:22:00
36296208,Mar/15/2018 13:50,lkjfdsa,949D - Curfew,GNU C++14,Accepted,31 ms,2800 KB,2018-03-15 13:50:00
41544798,Aug/13/2018 06:32,fengyecong,949D - Curfew,GNU C++14,Accepted,46 ms,800 KB,2018-08-13 06:32:00
39978550,Jul/05/2018 12:06,czc12138,950F - Curfew,GNU C++,Accepted,46 ms,900 KB,2018-07-05 12:06:00
64358905,Nov/06/2019 14:10,ChrisKKK,949D - Curfew,GNU C++11,Accepted,46 ms,1200 KB,2019-11-06 14:10:00
43229990,Sep/22/2018 04:25,vjudge2,949D - Curfew,MS C++,Accepted,46 ms,800 KB,2018-09-22 04:25:00
47506012,Dec/26/2018 02:46,daifucong,949D - Curfew,GNU C++11,Accepted,46 ms,1600 KB,2018-12-26 02:46:00
