2018351,Aug/16/2012 10:09,xlk,209A - Multicolored Marbles,Ruby,Accepted,750 ms,5600 KB,2012-08-16 10:09:00
15914068,Feb/09/2016 16:38,not_bot_but_POT,209A - Multicolored Marbles,Ruby,Accepted,654 ms,100 KB,2016-02-09 16:38:00
35837328,Mar/02/2018 16:10,______M______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 16:10:00
35840195,Mar/02/2018 17:15,______i______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 17:15:00
35840353,Mar/02/2018 17:15,______k______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 17:15:00
35840373,Mar/02/2018 17:15,______h______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 17:15:00
35844660,Mar/02/2018 18:33,_____k_____,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 18:33:00
35847138,Mar/02/2018 19:39,_____i_____,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 19:39:00
35847471,Mar/02/2018 19:45,______n______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 19:45:00
35847512,Mar/02/2018 19:45,______u______,209A - Multicolored Marbles,Ruby,Accepted,654 ms,6300 KB,2018-03-02 19:45:00
46819519,Dec/09/2018 17:19,MarcoXerox,209A - Multicolored Marbles,Python 3,Accepted,842 ms,0 KB,2018-12-09 17:19:00
51836810,Mar/25/2019 21:48,ashok123,209A - Multicolored Marbles,Python 3,Accepted,936 ms,0 KB,2019-03-25 21:48:00
4173363,Jul/27/2013 09:11,cykustc,209A - Multicolored Marbles,Python 2,Accepted,1466 ms,16000 KB,2013-07-27 09:11:00
79941102,May/13/2020 07:34,vjudge3,209A - Multicolored Marbles,PyPy 3,Accepted,342 ms,29600 KB,2020-05-13 07:34:00
68858920,Jan/15/2020 14:27,Annvv,209A - Multicolored Marbles,Python 3,Accepted,1278 ms,0 KB,2020-01-15 14:27:00
57822209,Jul/27/2019 03:22,py_ultron,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-07-27 03:22:00
16765038,Mar/17/2016 17:06,ITDOI,209A - Multicolored Marbles,GNU C++11,Accepted,30 ms,0 KB,2016-03-17 17:06:00
57899938,Jul/28/2019 18:15,lopare,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,0 KB,2019-07-28 18:15:00
1993129,Aug/08/2012 17:00,xfce8888,209A - Multicolored Marbles,Python 2,Accepted,1110 ms,38900 KB,2012-08-08 17:00:00
10017531,Feb/25/2015 12:55,wy2ka4,209A - Multicolored Marbles,FPC,Accepted,30 ms,3900 KB,2015-02-25 12:55:00
15144246,Jan/01/2016 03:38,HappyNewYearMike,209A - Multicolored Marbles,FPC,Accepted,60 ms,3900 KB,2016-01-01 03:38:00
70827250,Feb/12/2020 09:55,luogu_bot4,209A - Multicolored Marbles,GNU C++11,Accepted,62 ms,3900 KB,2020-02-12 09:55:00
1912620,Jul/19/2012 23:41,eater,209A - Multicolored Marbles,Python 2,Accepted,730 ms,18700 KB,2012-07-19 23:41:00
4857441,Oct/24/2013 11:29,sumy,209A - Multicolored Marbles,Python 2,Accepted,936 ms,0 KB,2013-10-24 11:29:00
10297621,Mar/16/2015 11:05,Vadvirus,209A - Multicolored Marbles,GNU C++,Accepted,62 ms,7900 KB,2015-03-16 11:05:00
