36975223,Apr/04/2018 19:08,cielavenir,961A - Tetris,Ruby,Accepted,62 ms,6200 KB,2018-04-04 19:08:00
36975182,Apr/04/2018 19:07,eugalt,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-04 19:07:00
36981593,Apr/04/2018 23:30,jamjury,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 23:30:00
37026422,Apr/06/2018 19:31,Bamal,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-06 19:31:00
36980745,Apr/04/2018 22:34,jamjury,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 22:34:00
37534011,Apr/22/2018 16:16,Qumeric,961A - Tetris,Python 3,Accepted,109 ms,7200 KB,2018-04-22 16:16:00
36982091,Apr/05/2018 00:06,nealzane,961A - Tetris,PyPy 2,Accepted,140 ms,22400 KB,2018-04-05 00:06:00
74640247,Mar/28/2020 15:41,coderemite,961A - Tetris,Python 3,Accepted,140 ms,300 KB,2020-03-28 15:41:00
36980478,Apr/04/2018 22:17,jamjury,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-04 22:17:00
38247659,May/14/2018 21:59,VorivaN,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-05-14 21:59:00
71277084,Feb/17/2020 15:31,stars_in_the_sky,961A - Tetris,Python 3,Accepted,124 ms,300 KB,2020-02-17 15:31:00
36977662,Apr/04/2018 20:13,code4101,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 20:13:00
37262694,Apr/13/2018 04:15,jmerizia,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-13 04:15:00
54237852,May/16/2019 14:37,vjudge3,961A - Tetris,Python 3,Accepted,124 ms,0 KB,2019-05-16 14:37:00
37619459,Apr/26/2018 00:00,LorDick,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-26 00:00:00
36980412,Apr/04/2018 22:12,jamjury,961A - Tetris,Python 3,Accepted,109 ms,6900 KB,2018-04-04 22:12:00
36985993,Apr/05/2018 05:50,laoliumang,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-05 05:50:00
36987495,Apr/05/2018 07:21,Yee_172,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 07:21:00
36952329,Apr/04/2018 17:08,s_p,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-04 17:08:00
36952530,Apr/04/2018 17:09,Amoo_Safar,961A - Tetris,Python 3,Accepted,78 ms,6900 KB,2018-04-04 17:09:00
37278046,Apr/13/2018 10:55,Genericcoder,961A - Tetris,Python 3,Accepted,109 ms,7200 KB,2018-04-13 10:55:00
45918293,Nov/18/2018 18:03,__M.J__,961A - Tetris,PyPy 3,Accepted,124 ms,0 KB,2018-11-18 18:03:00
73183799,Mar/14/2020 06:56,shantol,961A - Tetris,PyPy 3,Accepted,171 ms,0 KB,2020-03-14 06:56:00
37512607,Apr/21/2018 14:35,yclrz,961A - Tetris,Python 3,Accepted,78 ms,7900 KB,2018-04-21 14:35:00
52703795,Apr/13/2019 18:14,Woland404,961A - Tetris,Python 3,Accepted,109 ms,0 KB,2019-04-13 18:14:00
36998404,Apr/05/2018 16:19,yash918,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-05 16:19:00
36953555,Apr/04/2018 17:12,TooDumbToWin,961A - Tetris,Python 2,Accepted,109 ms,5900 KB,2018-04-04 17:12:00
37140764,Apr/10/2018 12:58,nisaruj,961A - Tetris,Python 3,Accepted,93 ms,6900 KB,2018-04-10 12:58:00
37767603,Apr/30/2018 18:57,vjudge5,961A - Tetris,Python 3,Accepted,92 ms,6900 KB,2018-04-30 18:57:00
