1,"Nowadays all circuses in Berland have a round arena with diameter       13 meters, but in the past things were different. In Ancient Berland arenas in circuses were shaped as a regular       (equiangular) polygon, the size and the number of angles could       vary from one circus to another. In each corner of the arena there       was a special pillar, and the rope strung between the pillars       marked the arena edges. Recently the scientists from Berland have discovered the remains       of the ancient circus arena. They found only three pillars, the       others were destroyed by the time. You are given the coordinates of these three pillars. Find out       what is the smallest area that the arena could have.","The input file consists of three lines, each of them contains a       pair of numbers –– coordinates of the pillar. Any coordinate       doesn't exceed 1000 by absolute value, and is given with at most       six digits after decimal point.",Output the smallest possible area of the ancient arena. This       number should be accurate to at least 6 digits after the decimal       point. It's guaranteed that the number of angles in the optimal       polygon is not larger than 100.,
2,"The Olympic Games in Bercouver are in full swing now. Here       everyone has their own objectives: sportsmen compete for medals,       and sport commentators compete for more convenient positions to       give a running commentary. Today the main sport events take place       at three round stadiums, and the commentator's objective is to       choose the best point of observation, that is to say the point       from where all the three stadiums can be observed. As all the       sport competitions are of the same importance, the stadiums should       be observed at the same angle. If the number of points meeting the       conditions is more than one, the point with the maximum angle of       observation is prefered.  Would you, please, help the famous Berland commentator G. Berniev       to find the best point of observation. It should be noted, that       the stadiums do not hide each other, the commentator can easily       see one stadium through the other.","The input data consists of three lines, each of them describes       the position of one stadium. The lines have the format  x,  y,  r, where ( x, y) are the coordinates of the stadium's       center ( -  103 ≤ x,  y ≤ 103), and  r (1 ≤ r  ≤ 103) is its radius. All the numbers       in the input data are integer, stadiums do not have common points,       and their centers are not on the same line. ","Print the coordinates of the required point with five digits       after the decimal point. If there is no answer meeting the       conditions, the program shouldn't print anything. The output data       should be left blank.",
3,"Certainly, everyone is familiar with tic-tac-toe game. The rules       are very simple indeed. Two players take turns marking the cells       in a 3 × 3 grid (one player always       draws crosses, the other — noughts). The player who succeeds first       in placing three of his marks in a horizontal, vertical or       diagonal line wins, and the game is finished. The player who draws       crosses goes first. If the grid is filled, but neither Xs, nor 0s       form the required line, a draw is announced. You are given a 3 × 3 grid, each       grid cell is empty, or occupied by a cross or a nought. You have       to find the player (first or second), whose turn is next, or print       one of the verdicts below: ","The input consists of three lines, each of the lines contains       characters ""."",         ""X"" or         ""0"" (a period,       a capital letter X, or a digit zero).","Print one of the six verdicts: first, second, illegal, the first player won, the second player won or draw.",
4,"A new e-mail service ""Berlandesk"" is going to be opened       in Berland in the near future. The site administration wants to       launch their project as soon as possible, that's why they ask you       to help. You're suggested to implement the prototype of site       registration system. The system should work on the following       principle.  Each time a new user wants to register, he sends to the system a       request with his name. If       such a name does not exist       in the system database, it is inserted into the database, and the       user gets the response OK,       confirming the successful registration. If the name already exists in the system       database, the system makes up a new user name, sends it to the       user as a prompt and also inserts         the prompt into the database. The new name is formed by       the following rule. Numbers, starting with 1, are appended one       after another to name         (name1, name2, ...), among these numbers       the least  i is found so that name  i does not yet exist in the database.","The first line contains number  n (1 ≤ n ≤ 105). The following  n lines contain the requests to the system. Each       request is a non-empty line, and consists of not more than 32       characters, which are all lowercase Latin letters.","Print  n lines, which are system responses to the       requests: OK in case of       successful registration, or a prompt with a new name, if the       requested name is already taken.",
5,"This is yet another problem dealing with regular bracket sequences. We should remind you that a bracket sequence is called regular,       if by inserting «+» and         «1» into it we can get a       correct mathematical expression. For example, sequences «(())()», «()» and «(()(()))» are regular, while         «)(», «(()» and «(()))(» are not.  You are given a string of «(» and «)» characters. You are to find       its longest substring that is a regular bracket sequence. You are       to find the number of such substrings as well.","The first line of the input file contains a non-empty string,       consisting of «(» and         «)» characters. Its       length does not exceed 106.","Print the length of the longest substring that is a regular       bracket sequence, and the number of such substrings. If there are       no such substrings, write the only line containing ""0 1"".",
6,"Alice and Bob like games. And now they are ready to start a new       game. They have placed  n chocolate bars in a line. Alice starts to eat       chocolate bars one by one from left to right, and Bob — from right       to left. For each chocololate bar the time, needed for the player       to consume it, is known (Alice and Bob eat them with equal speed).       When the player consumes a chocolate bar, he immediately starts       with another. It is not allowed to eat two chocolate bars at the       same time, to leave the bar unfinished and to make pauses. If both       players start to eat the same bar simultaneously, Bob leaves it to       Alice as a true gentleman. How many bars each of the players will consume?","The first line contains one integer  n (1 ≤ n ≤ 105) — the amount of bars on the       table. The second line contains a sequence  t 1, t 2, ..., t  n (1 ≤ t  i ≤ 1000), where  t  i is the time (in seconds) needed to       consume the  i-th bar (in the order from left to right).","Print two numbers  a and  b, where  a is the amount of bars consumed by Alice, and          b is the amount of bars consumed by Bob.",
7,"A line on the plane is described by an equation  Ax + By + C = 0. You are to find any       point on this line, whose coordinates are integer numbers from          - 5·1018 to 5·1018       inclusive, or to find out that such points do not exist.","The first line contains three integers  A,  B and  C ( - 2·109 ≤ A, B, C ≤ 2·109) — corresponding coefficients       of the line equation. It is guaranteed that  A 2 + B 2 > 0.","If the required point exists, output its coordinates, otherwise       output -1.",
8,"Girl Lena likes it when everything is in order, and looks for       order everywhere. Once she was getting ready for the University       and noticed that the room was in a mess — all the objects from her       handbag were thrown about the room. Of course, she wanted to put       them back into her handbag. The problem is that the girl cannot       carry more than two objects at a time, and cannot move the       handbag. Also, if he has taken an object, she cannot put it       anywhere except her handbag — her inherent sense of order does not       let her do so. You are given the coordinates of the handbag and the coordinates       of the objects in some Сartesian coordinate system. It is known       that the girl covers the distance between any two objects in the       time equal to the squared length of the segment between the points       of the objects. It is also known that initially the coordinates of       the girl and the handbag are the same. You are asked to find such       an order of actions, that the girl can put all the objects back       into her handbag in a minimum time period.","The first line of the input file contains the handbag's       coordinates  x  s, y  s. The second line contains number  n (1 ≤ n ≤ 24) — the amount of objects       the girl has. The following  n lines contain the objects' coordinates. All the       coordinates do not exceed 100 in absolute value. All the given       positions are different. All the numbers are integer.","In the first line output the only number — the minimum time the       girl needs to put the objects into her handbag.  In the second line output the possible optimum way for Lena. Each       object in the input is described by its index number (from 1 to          n), the handbag's point is described by number 0.       The path should start and end in the handbag's point. If there are       several optimal paths, print any of them. ",
9,"One beautiful July morning a terrible thing happened in       Mainframe: a mean virus Megabyte somehow got access to the memory       of his not less mean sister Hexadecimal. He loaded there a huge       amount of  n different natural numbers from 1 to  n to obtain total control over her energy. But his plan failed. The reason for this was very simple:       Hexadecimal didn't perceive any information, apart from numbers       written in binary format. This means that if a number in a decimal       representation contained characters apart from 0 and 1, it was not       stored in the memory. Now Megabyte wants to know, how many numbers       were loaded successfully.",Input data contains the only number  n (1 ≤ n ≤ 109).,Output the only number — answer to the problem.,For  n = 10 the answer includes numbers 1 and 10.
10,"Not long ago Billy came across such a problem, where there were       given three natural numbers  A,  B and  C from the range [1, N], and it was asked to check       whether the equation  AB = C is correct. Recently Billy studied       the concept of a digital root of a number. We should remind you       that a digital root  d(x) of the number  x is the sum  s(x) of all the digits of this number, if          s(x) ≤ 9, otherwise it is  d(s(x)). For example, a digital root       of the number 6543 is calculated as follows:  d(6543) = d(6 + 5 + 4 + 3) = d(18) = 9.       Billy has counted that the digital root of a product of numbers is       equal to the digital root of the product of the factors' digital       roots, i.e.  d(xy) = d(d(x)d(y)).       And the following solution to the problem came to his mind: to       calculate the digital roots and check if this condition is met.       However, Billy has doubts that this condition is sufficient.       That's why he asks you to find out the amount of test examples for       the given problem such that the algorithm proposed by Billy makes mistakes.",The first line contains the only number  N (1 ≤ N ≤ 106).,"Output one number — the amount of required  A,  B and  C from the range [1, N].","For the first sample the required triples are (3, 4, 3) and (4, 3, 3)."
