id,day,author,problem,language,ac,len,word,source,token,time,memory,status
26184141,2017/4/7 7:56,leela,1A - Theatre Square,Python 3,Accepted,2,24,"n , m , a = map ( int , input (). split ()) print (- n // a *(- m // a ))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun,62 ms,5400 KB,1
77672738,2020/4/22 19:22,Dinara01022000,2A - Winner,Python 3,Accepted,5,87,"n , k , s = eval ( input ()),{},[] for  i  in  range ( n ): a , b = input (). split ( ' ' ); k [ a ]= k . get ( a , 0 )+ int ( b ); s . append ([ a , k [ a ]]) n = max ( k . values ()) for  i  , j  in  s :      if  k [ i ]== n  and  int ( j )>= n : print ( i ); break",pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln kwd pln pun pln kwd pln pun pln pun pln kwd pln pun pln pun pln pun kwd pun pln pun kwd,218 ms,300 KB,2
77675658,2020/4/22 19:50,Dinara01022000,3A - Shortest path of the king,Python 3,Accepted,12,119,"L = input R = print a = L ()+ L () a , b =( ord ( a [ i ])- ord ( a [ i + 2 ]) for  i  in ( 0 , 1 )) R ( max ( a ,- a , b ,- b )) while  a != 0   or  b != 0 :  r = ''   if  a < 0 : r = 'R' ; a += 1   if  a > 0 : r = 'L' ; a -= 1   if  b < 0 : r += 'U' ; b += 1   if  b > 0 : r += 'D' ; b -= 1  R ( r )",pln pun pln pln pun kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun kwd pln kwd pun lit pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun lit pln kwd pln pun lit pun pln pun str pln kwd pln pun lit pun pln pun str pun pln pun lit pln kwd pln pun lit pun pln pun str pun pln pun lit pln kwd pln pun lit pun pln pun str pun pln pun lit pln kwd pln pun lit pun pln pun str pun pln pun lit pln pun pln pun,218 ms,300 KB,3
23413326,2016/12/30 8:52,r.mustapha.amine,4A - Watermelon,Python 3,Accepted,1,16,"print ( ""YNEOS"" [ 2 ** int ( input ())% 24 < 9 :: 2 ])",kwd pun str pun lit pun pln pun pln pun lit pun lit pun lit pun,154 ms,4500 KB,4
63197326,2019/10/22 22:03,vishnutheerthep,5A - Chat Servers Outgoing Traffic,Python 3,Accepted,7,61,import  sys s = 0 ; n = 0 for  i  in  sys . stdin :      if  i [ 0 ]== '+' : n += 1      elif  i [ 0 ]== '-' : n -= 1      else : s += n *( len ( i )- i . find ( ':' )- 2 ) print ( s ),kwd pln pln pun lit pun pln pun lit kwd pln kwd pln pun pln pun pln kwd pln pun lit pun str pun pln pun lit pln kwd pln pun lit pun str pun pln pun lit pln kwd pun pln pun pln pun pln pun pln pun pln pun pln pun str pun lit pun kwd pun pln pun,218 ms,300 KB,5
15913452,2016/2/9 16:17,not_bot_but_POT,6A - Triangle,Python 3,Accepted,3,50,"a , b , c , d = sorted ( map ( int , input (). split ())) x = min ( d - b - c , c - a - b ) print ([ ""SEGMENT"" , ""IMPOSSIBLE"" , ""TRIANGLE"" ][( x > 0 )-( x < 0 )])",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun str pun str pun str pun pln pun lit pun pln pun lit pun,154 ms,0 KB,6
77677476,2020/4/22 20:08,Dinara01022000,7A - Kalevitch and Chess,Python 3,Accepted,2,36,t  =   [ input (). count ( 'B' )   for  i  in  range ( 8 )] print ( min ( t )   %   8   +  t . count ( 8 )),pln pun pln pun pln pun pln pun str pun pln kwd pln kwd pln pun lit pun kwd pun pln pun pln pun pln pun pln lit pln pun pln pun pln pun lit pun,218 ms,0 KB,7
15258528,2016/1/8 21:09,merolish,8A - Train and Peter,Python 3,Accepted,5,98,"def  f ( a ,  b ,  c ):     i ,  j  =  a . find ( b ),  a . rfind ( c )      return  i  !=   - 1   and  j  !=   - 1   and  i  +  len ( b )   <=  j a ,  b ,  c  =  input (),  input (),  input () print (( 'fantasy' ,   'backward' ,   'forward' ,   'both' )[ 2   *  f ( a ,  b ,  c )   +  f ( a [::- 1 ],  b ,  c )])",kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun lit pln kwd pln pun pln pun lit pln kwd pln pun pln pun pln pun pln pun pln pln pun pln pun pln pun pln pun pln pun pln pun kwd pun str pun pln str pun pln str pun pln str pun lit pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun,184 ms,200 KB,8
62523601,2019/10/13 19:33,Soumya_123,9A - Die Roll,Python 3,Accepted,1,26,"print ([ '1/1' , '5/6' , '2/3' , '1/2' , '1/3' , '1/6' ][ max ( map ( int , input (). split ()))- 1 ])",kwd pun str pun str pun str pun str pun str pun str pun pln pun pln pun pln pun pln pun pln pun lit pun,218 ms,0 KB,9
79202306,2020/5/6 19:50,coderemite,10A - Power Consumption Calculation,Python 3,Accepted,12,125,"I = lambda : map ( int , input (). split ()) n , a , b , c , u , v = I () exec ( 'x=[' + n * '[*I()],' + ']' ) r = 0 for  i  in  range ( n ):   r += a *( x [ i ][ 1 ]- x [ i ][ 0 ])    if  i :     t = x [ i ][ 0 ]- x [ i - 1 ][ 1 ]     s = min ( t , u ); r += s * a ; t -= s     s = min ( t , v ); r += s * b ; t -= s     r += t * c print ( r )",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pun str pun pln pun str pun str pun pln pun lit kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun pln pun pln kwd pun pln pun,218 ms,6800 KB,10
