submission,keyword
2, for in for in if and break
3, for in while or if if if if
5, import for in if elif else
7, for in
8, def return and and
10, lambda for in if
11, lambda for in if
12, if else
13, import for in while
14, for in for in for in if for in
15, lambda for in for in if if
16, for in for in
17, for in if for in for in if in if else
18, def return def return and and and if for in if if
19, for in for in for in if elif else for in for in
20, None
21, import if else
23, for in for in if in
24, for in if in or in else
25, for in
26, for in if for in
28, from import for in for in for in for in for in if in and else break else
29, for in or for in for in
30, for in for in if
31, for in for in if in
32, lambda for in for in
33, for in
34, for in if
35, lambda for in if elif
39, import or or for in for in if else
40, from import if or else
42, for in
43, for in
45, import for in
46, for in
48, for in for in if for in
49, in
51, for in if if not in for in
52, for in
53, for in if if else
54, lambda for in
55, if else
56, for in if else in
57, if if
58, in for in
59, for in
60, for in if else if else
61, for in
62, if or else
63, for in lambda for in
65, if or and or and and else
66, if if if if
67, for in if elif if else if for in if elif if else if for in
69, for in
71, for in
74, for in lambda
75, lambda
77, for in for in for in def if if not and and return in for in for in for in global if or and else
78, for in in for in
79, if and else
80, lambda for in and not for in
81, for in if and else
82, while
83, while
85, if if else else if else
86, if if if
87, from import if else if else
88, if in elif in else
89, lambda
90, lambda
91, from import for in for in if in and not for in else for in if else
92, while
93, if and or if and or else if or or or else
94, for in for in
95, for in for in
96, in or in
98, in or in
99, if else in
101, for in lambda while and
102, lambda for in if else for in for in for in if in and in and in if else
103, lambda for in if else for in for in for in if in and in and in if else
105, from import for in if for in for in
106, and or and
107, import for in for in for in while if if
108, while if break
109, else
110, in for in in
111, or
113, import for in
114, while
115, for in for in while
116, for in
117, for in if elif else
118, for in if not in
119, from import while
120, import
121, def if return return def for in return
122, for in
123, from import for in if for in if or else if for in if else
127, lambda for in for in
128, for in for in for in for in if continue if or and or if else
129, for in
132, for in
133, and or
134, for in if
135, if else
136, for in
137, from import for in
138, def for in if in if return return def if in return elif if return if else else return elif and return elif and return else return for in for in if break elif and in pass elif in else break
139, for in while
140, from import if or and else
142, for in if continue for in if continue if
143, if and and and and else
145, for in if if else
146, not in for in or
147, import
148, for in for in for in
149, for in if
150, while while if else if if else
152, for in for in for in for in
154, False for in for in for in if if elif else if in else False elif in if
155, for in
156, for in for in for in for in
157, for in for in for in
158, lambda for in
159, def return for in if else for in for in if and and
160, while
161, lambda for in while and if break for in
165, for in lambda for in if or for in
166, lambda for in lambda
167, for in if else
169, lambda
172, for in while for in
173, lambda if or or else if else for in if
174, lambda if for in else for in
175, for in for in if lambda and
176, lambda def for in for in if break return for in for in for in for in
180, import for in for in def global for in for in for in for in if continue if for in
181, for in for in if
183, for in if elif or else
186, from import or for in
187, while and if
189, for in
190, and
192, for in if in for in else
197, or
198, for in if else break
201, if else for in if
