id,day,author,problem,language,ac,len,word,source,token,time,memory,status
30166152,2017-09-06 23:37:00,notsniwiast,1B - Spreadsheet,Python 3,Accepted,10,128,"for  n  in  range ( int ( input ())):     x  =  input (); a = b = 0      for  c  in  x :          if   '0'   <=  c <= '9' : b = 10 * b + int ( c )          elif  b :             a , b = x [ 1 :]. split ( 'C' ); b = int ( b ); v = """"              while  b :  b -= 1 ; v = chr ( 65 + b % 26 )+ v ; b //= 26              print ( v + a ); break          else : a = 26 * a + ord ( c )- 64      else : print ( ""R%dC%d""   %   ( b ,  a ))",kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pln kwd pln kwd pln pun pln kwd pln str pln pun pln pun str pun pln pun lit pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun lit pun pln pun str pun pln pun pln pun pln pun pln pun str pln kwd pln pun pln pun lit pun pln pun pln pun lit pun pln pun lit pun pln pun pln pun lit pln kwd pun pln pun pln pun kwd pln kwd pun pln pun lit pun pln pun pln pun pln pun lit pln kwd pun kwd pun str pln pun pln pun pln pun pln pun,4086 ms,0 KB,1
35446227,2018-02-18 15:57:00,Relento,3B - Lorry,Python 3,Accepted,29,261,"n , v  =  map ( int , input (). split ()) l1  =   [] l2  =   [] for  i  in  range ( n ):     t , x  =  map ( int , input (). split ())      if  t  ==   1 :         l1 . append ([ x , i + 1 ])      else :         l2 . append ([ x , i + 1 ]) l1 . sort ( reverse = True ) l2 . sort ( reverse = True ) s1  =   [ 0 ] s2  =   [ 0 ] for  i  in  range ( min ( v , len ( l1 ))):     s1 . append ( s1 [- 1 ]+ l1 [ i ][ 0 ]) for  i  in  range ( min ( int ( v / 2 ), len ( l2 ))):     s2 . append ( s2 [- 1 ]+ l2 [ i ][ 0 ]) ans  =   0 num  =   0 # print(s1) # print(s2) for  i  in  range ( min ( v , len ( l1 ))+ 1 ):      # print(t)     t  =  s1 [ i ]+ s2 [ min ( len ( l2 ), int (( v - i )/ 2 ))]      if  ans  <  t :         num  =  i         ans  =  t print ( ans ) print ( "" "" . join ( map ( lambda  x : str ( x [ 1 ]), l1 [ 0 : num ]+ l2 [ 0 : min ( len ( l2 ), int (( v - num )/ 2 ))])))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln lit pun pln pun pln pun pln pun pln pun lit pun pln kwd pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun kwd pun pln pun pln pun lit pun pln pun pln pun lit pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun kwd pln kwd pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln pun pln lit pln pun pln lit com com kwd pln kwd pln pun pln pun pln pun pln pun pln pun lit pun pln com pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pln pun pln kwd pun pln pun kwd pun str pun pln pun pln pun kwd pln pun pln pun pln pun lit pun pln pun lit pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun,1278 ms,21800 KB,3
42139586,2018-08-27 06:56:00,zhxjfl,4B - Before an Exam,Python 3,Accepted,16,117,"def  f ():     return  list ( map ( int , input (). split ())) d , t = f () a =[ f ()   for  _  in  range ( d )] b = list ( zip (* a )) zn = sum ( b [ 0 ]) zx = sum ( b [ 1 ]) if  zn <= t <= zx :     print ( 'YES' )    delta = t - zn     for  m1 , m2  in  a :     today = min ( m2 - m1 , delta )     delta -= today      print ( m1 + max ( 0 , today ), end = ' ' ) else :      print ( 'NO' )",kwd pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun lit pun kwd pln pun pln pun pln pun pln kwd pun str pun pln pun pln pun pln pln kwd pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pln kwd pun pln pun pln pun lit pun pln pun pln pun str pun kwd pun pln kwd pun str pun,109 ms,0 KB,4
25660842,2017-03-20 10:23:00,Hamilton10,5B - Center Alignment,Python 3,Accepted,11,136,"import  sys a  =   [ l . strip ()   for  l  in  sys . stdin ] w , c  =  max ( len ( l )   for  l  in  a ),   0 print ( '*'   *   ( w + 2 )) for  l  in  a :     s  =   [( w - len ( l ))// 2 ]   *   2      if  len ( l )   %   2   !=  w  %   2 :         c  =   1 - c         s [ c ]   +=   1      print ( '*' + ' ' * s [ 0 ]   +  l  +   ' ' * s [ 1 ]   + '*' ) print ( '*'   *   ( w + 2 ))",kwd pln pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln lit kwd pun str pln pun pln pun pln pun lit pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln lit pln kwd pln pun pln pun pln pun pln lit pln pun pln pun pln lit pun pln pun pln lit pun pln pln pun pln pun pln pun pln lit pln kwd pun str pun str pun pln pun lit pun pln pun pln pun pln str pun pln pun lit pun pln pun str pun kwd pun str pln pun pln pun pln pun lit pun,154 ms,5400 KB,5
42260237,2018-08-30 05:26:00,zhxjfl,6B - President's Office,Python 3,Accepted,11,146,"m , n , c = input (). split () m , n = int ( m ), int ( n ) a =[ '' ]* m for  i  in  range ( m ): a [ i ]= input () ans = set () for  i  in  range ( m ):     for  j  in  range ( n ):          if  a [ i ][ j ]== c :           for  x , y  in   ( i - 1 , j ),( i + 1 , j ),( i , j - 1 ),( i , j + 1 ):              if  x  in  range ( m )   and  y  in  range ( n )   and  a [ x ][ y ]!= '.' : ans . add ( a [ x ][ y ]) print ( len ( ans -{ c }))",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln pln kwd pln pun pln pun pln pun pln pun pln kwd pln pun pln kwd pln pun pln pun lit pun pln pun pln pun lit pun pln pun pln pun pln pun lit pun pln pun pln pun lit pun pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln kwd pln pun pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun,171 ms,0 KB,6
14302957,2015-11-16 22:17:00,merolish,7B - Memory Manager,Python 3,Accepted,42,277,"t ,  m  =  map ( int ,  input (). split ()) a ,  b  =   [ 0 ]   *  m ,   1   def  alloc ( n ):      global  b     f  =   0      for  i  in  range ( m ):          if   not  a [ i ]:             f  +=   1              if  f  ==  n :                 a [ i  -  n  +   1 : i  +   1 ]   =   [ b ]   *  n                 b  +=   1                  return  b  -   1          else :             f  =   0      return   'NULL'   def  erase ( x ):     f  =   0      for  i  in  range ( m ):          if  x  and  a [ i ]   ==  x :             a [ i ]   =   0             f  +=   1      if  f  ==   0 :          print ( 'ILLEGAL_ERASE_ARGUMENT' )   def  defragment ():     f  =   0      for  i  in  range ( m ):          if  f  and  a [ i ]:             a [ i  -  f ],  a [ i ]   =  a [ i ],   0          elif   not  a [ i ]:             f  +=   1   for  i  in  range ( t ):     c  =  input (). split ()      if  c [ 0 ]   ==   'alloc' :          print ( alloc ( int ( c [ 1 ])))      elif  c [ 0 ]   ==   'erase' :         erase ( int ( c [ 1 ]))      else :         defragment ()",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln lit pln kwd pln pun pln pun pln kwd pln pln pun pln lit pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln lit pln kwd pln pun pln pun pln pun pln pun pln pun pln lit pun pln pun pln lit pun pln pun pln pun pln pun pln pun pln pln pun pln lit pln kwd pln pun pln lit pln kwd pun pln pun pln lit pln kwd pln str pln kwd pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln pun pln lit pln kwd pln pun pln lit pun pln kwd pun str pun pln kwd pln pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln pun lit pun pln pun pln str pun pln kwd pun pln pun pln pun pln pun lit pun pln kwd pln pun lit pun pln pun pln str pun pln pun pln pun pln pun lit pun pln kwd pun pln pun,154 ms,300 KB,7
78317582,2020-04-27 20:41:00,Anastasia_Gavrilita,8B - Obsession with Robots,Python 3,Accepted,17,156,"#8B - Obsession with robots s  =  input () d  =   { 'U' :( 0 , 1 ),   'D' :( 0 ,- 1 ),   'L' :(- 1 , 0 ),   'R' :( 1 , 0 )} p  =   [( 0 , 0 )] for  x  in  s : 	a  =  p [- 1 ] 	b  =  d [ x ] 	c  =   ( a [ 0 ]+ b [ 0 ],  a [ 1 ]+ b [ 1 ]) 	z  =   0 	 for  y  in  d . values (): 		 if   ( c [ 0 ]+ y [ 0 ],  c [ 1 ]+ y [ 1 ])   in  p : 			z  +=   1 	 if   ( z  !=   1 )   or   ( c  in  p ): 		 print ( 'BUG' ) 		exit () 	p . append ( c ) print   ( 'OK' )",com pln pun pln pun pln pun pln pun str pun lit pun lit pun pln str pun lit pun lit pun pln str pun lit pun lit pun pln str pun lit pun lit pun pln pun pln pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln kwd pln pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln kwd pln pun pln pun pln lit pln kwd pln pun pln pun pln lit pun pln kwd pln pun pln kwd pln pun pln kwd pun str pun pln pun pln pun pln pun pln pun kwd pln pun str pun,216 ms,300 KB,8
73773998,2020-03-20 11:24:00,Vasiliy_48,9B - Running Student,Python 3,Accepted,8,98,"n , vb , vs = map ( int , input (). split ()) a = list ( map ( float , input (). split ())) x , y = map ( float , input (). split ()) m , ans = 10 ** 10 , 0 for  i  in  range ( 1 , n ):     t =((( x - a [ i ])** 2 + y ** 2 )** 0.5 )/ vs + a [ i ]/ vb      if  t <= m :  m , ans = t , i print ( ans + 1 )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun lit pun lit kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun lit pun pln pun pln pun pln pun pln pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pun pln pun lit pun,218 ms,0 KB,9
55736694,2019-06-19 07:39:00,07rahi,11B - Jumping Jack,Python 3,Accepted,6,32,j = abs ( int ( input ())) i = 0 while  j > 0   or  j & 1 :     i += 1     j -= i print   ( i ),pln pun pln pun pln pun pln pun pln pun lit kwd pln pun lit pln kwd pln pun lit pun pln pun lit pln pun pln kwd pln pun pln pun,218 ms,0 KB,11
19678218,2016-08-07 03:23:00,Amores,12B - Correct Solution?,Python 3,Accepted,4,52,"s = input () k = s . count ( '0' ) s = '' . join ( sorted ( s ))[ k :] print ([ 'WRONG_ANSWER' , 'OK' ][ input ()==( '0'   if  s == ''   else  s [ 0 ]+ '0' * k + s [ 1 :])])",pln pun pln pun pln pun pln pun pln pun str pun pln pun str pun pln pun pln pun pln pun pln pun kwd pun str pun str pun pln pun str pln kwd pln pun str pln kwd pln pun lit pun str pun pln pun pln pun lit pun,154 ms,4500 KB,12
