submission,keyword
1, from import for in for in for in def return if else
2, def def for in for in return for in while if elif elif elif else return if else None if and in for in if is not None
3, in in if not in or or elif elif else
4, for in if else
5, for in if elif if else if elif else
6, while if else
7, def if not return return if else
9, while
10, for in for in for in
12, lambda for in for in for in
13, import for in
14, for in if and if and for in if for in else
15, def if return if return if return return for in if else
16, import for in
18, for in for in
19, def while if return for in for in for in def if elif return while for in if continue if and break
20, from import for in for in while for in if if else while
21, from import for in if else not for in if
22, if or for in for in for in if if
23, while for in True if else
24, for in for in
26, False if and if True for in for in for in for in if elif elif else if for in if else if for in for in for in
27, for in if
29, from import for in for in if while
30, for in lambda for in for in if
33, for in
34, for in for in if not in elif not in
37, for in for in for in for in while if else
38, lambda for in for in
40, def while for in yield for in def return def for in if return for in if return for in if return for in return def for in if return for in return def for in if return if for in if return if for in if return for in if return for in return def return def if return if return if return def if return else return
42, def def while True False for in while if and elif elif True if not break while in if
43, for in
44, for in for in while and if else
45, import for in for in for in if while if or continue if if if and and
46, for in
47, from import for in for in if or continue elif or continue elif or or continue elif or continue else for in for in if else
48, import def while for in yield for in for in for in if else
50, for in if if if if
51, while if if break else if break
53, for in if else
54, import def if return if else while return for in for in for in for in
55, False while if True if else
56, def while for in if return for in if in if else
57, for in for in
58, for in
59, for in if pass elif elif else for in if not in for in if and for in
61, def if return else return def while for in return if else
63, import for in def if return False for in for in if for in if in if or return False return True for in if if break if elif else
65, import import import def lambda lambda return def for in for in lambda if if None for in lambda if else
66, from import from import for in for in for in for in for in
69, for in from import for in for in for in for in if for in for in break for in for in
71, from import for in if for in for in if break if
75, import for in if for in for in import if else
78, def if and return True for in if not if or return True return False if else if else
79, for in def global for in if if and in return False elif and in return False return True for in if for in while True if break for in if if if if
80, for in def global for in if if and in return False elif and in return False return True for in if for in while True if break for in if if if if
81, import from import def return def return def return for in if else if else for in for in
88, import from import def return def return def return for in if else if else for in for in
90, import from import def return def return def return for in if else if else for in for in
92, import from import def return def return def return for in if else if else for in for in
94, import from import def return def return def return for in if else if else for in for in
95, from import lambda for in for in for in while if if and for in if if or
96, for in False for in for in for in if for in True for in if not else if if else if else else if else
99, from import def return lambda for in for in for in if or elif elif if elif elif elif if elif else elif
102, from import def return lambda for in for in for in if or elif elif if elif elif elif if elif else elif
103, if for in and and or and or or and
104, if for in and and or and or or and
