id,day,author,problem,language,ac,len,word,source,token,time,memory,status
77672738,2020/4/22 19:22,Dinara01022000,2A - Winner,Python 3,Accepted,5,87,"n , k , s = eval ( input ()),{},[] for  i  in  range ( n ): a , b = input (). split ( ' ' ); k [ a ]= k . get ( a , 0 )+ int ( b ); s . append ([ a , k [ a ]]) n = max ( k . values ()) for  i  , j  in  s :      if  k [ i ]== n  and  int ( j )>= n : print ( i ); break",pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln pun pln kwd pln pun pln kwd pln pun pln pun pln kwd pln pun pln pun pln pun kwd pun pln pun kwd,218 ms,300 KB,2
79373298,2020/5/8 14:39,coderemite,108A - Palindromic Times,Python 3,Accepted,8,50,"h , m = map ( int , input (). split ( ':' )) m += h * 60 while   1 :   m =( m + 1 )% 1440      r = f '{m//60:02}:{m%60:02}'    if  r == r [::- 1 ]:      print ( r )      break",pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun lit kwd pln lit pun pln pun pln pun lit pun lit pln pln pun pln str pln kwd pln pun pln pun lit pun pln kwd pun pln pun pln kwd,218 ms,6500 KB,108
52940827,2019/4/18 12:08,newstein33,161A - Dress'em in Vests!,Python 3,Accepted,15,123,"I  =   lambda :  list ( map ( int ,  input (). split ())) n ,  m ,  x ,  y  =  I () a ,  b  =  I (),  I () l  =   [] j  =   0 for  i  in  range ( n ):      while  j  <  m  and  b [ j ]   <=  a [ i ]   +  y :          if  a [ i ]   -  x  <=  b [ j ]:             j  +=   1             l  +=   [( i  +   1 ,  j )]              break         j  +=   1 print ( len ( l )) for  i ,  j  in  l :      print ( i ,  j )",pln pun pln kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit kwd pln kwd pln pun pln pun pln kwd pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln pun pln pun pln pun pln lit pun pln pun pln kwd pln pun pln lit kwd pun pln pun pln pun kwd pln pun pln kwd pln pun pln kwd pun pln pun pln pun,1216 ms,14700 KB,161
23549213,2017/1/5 9:54,haleyk100198,198A - About Bacteria,Python 3,Accepted,12,63,"k ,  b ,  n ,  t  =  map ( int ,  input (). split ()) z  =  int ( 1 ) res  =  int ( n )   for  i  in  range ( n ): 	z  =  k * z  +  b 	 if  z  <=  t : 		res  -=   1 	 else : 		 break   print ( res )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pln kwd pln pun pln pun pln pun pln lit pln kwd pun pln kwd pln kwd pun pln pun,904 ms,4500 KB,198
58923604,2019/8/16 21:19,abhirock753,232A - Cycles,Python 3,Accepted,11,89,"n  ,  k  =   0   ,  int ( input ()) p =[[ '0' ]* 100   for  i  in  range ( 100 )] while  k : 	 for  i  in  range ( n ): 		 if  i > k : 			 break 		p [ n ][ i ]= p [ i ][ n ]= '1' 		k = k - i 	n += 1 print ( n ) for  i  in  range ( n ):   print ( '' . join ( p [ i ][: n ]))",pln pun pln pun pln lit pln pun pln pun pln pun pln pun str pun lit pln kwd pln kwd pln pun lit pun kwd pln pun pln kwd pln kwd pln pun pln pun pln kwd pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun str pln pun pln pun pln pln pun lit kwd pun pln pun kwd pln kwd pln pun pln pun pln kwd pun str pun pln pun pln pun pln pun pln pun,248 ms,300 KB,232
20676171,2016/9/17 11:16,Amores,277A - Learning Languages,Python 3,Accepted,14,119,"I = lambda : list ( map ( int , input (). split ())) n , m = I () r = 0 t =[] for  _  in  range ( n ): 	l = I (); 	 if  l [ 0 ]== 0 : r += 1 	 else : t +=[ set ( l [ 1 :])] i = 0 while  i < len ( t ): 	 for  j  in  t [ i + 1 :]: 		 if  t [ i ]& j : t [ i ]|= j ; t . remove ( j ); break 	 else : i += 1 print ( max ( 0 , len ( t )- 1 )+ r )",pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln kwd pln pun lit pun lit pun pln pun lit pln kwd pun pln pun pln pun pln pun lit pun pln pun lit kwd pln pun pln pun pln pun pln kwd pln kwd pln pun pln pun lit pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pun pln pun lit kwd pun pln pun lit pun pln pun pln pun lit pun pln pun,124 ms,500 KB,277
78998522,2020/5/4 22:08,coderemite,363A - Soroban,Python 3,Accepted,6,54,"n = int ( input ()) while   1 :   x = n % 10    print ([ 'O-' , '-O' ][ x > 4 ]+ '|' + x % 5 * 'O' + '-' +( 4 - x % 5 )* 'O' )   n //= 10    if  n < 1 : break",pln pun pln pun pln pun kwd pln lit pun pln pun pln pun lit pln kwd pun str pun str pun pln pun lit pun str pun pln pun lit pun str pun str pun lit pun pln pun lit pun str pun pln pun lit pln kwd pln pun lit pun kwd,109 ms,0 KB,363
74667848,2020/3/28 21:31,coderemite,447A - DZY Loves Hash,Python 3,Accepted,7,59,"p , n = map ( int , input (). split ()) r , s = 0 ,{ p } while  r < n :   x = int ( input ())% p    if  x  in  s : break   r += 1 ; s |={ x } print ([- 1 , r + 1 ][ r < n ])",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun kwd pln pun pln pun pln pun pln pun pln pun pln pln kwd pln kwd pln pun kwd pln pun lit pun pln pun pln pun kwd pun lit pun pln pun lit pun pln pun pln pun,109 ms,0 KB,447
79387295,2020/5/8 17:31,coderemite,641A - Little Artem and Grasshopper,Python 3,Accepted,9,74,"n = int ( input ()) a = input () d =* map ( int , input (). split ()), x = 0 v =[ 1 ,- 1 ] for  i  in  range ( n + 1 ):   x += v [ a [ x ]== '<' ]* d [ x ]    if  x < 0   or  x >= n : break print ( 'IN' *( i >= n )+ 'FINITE' )",pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pln pun lit pun lit pun kwd pln kwd pln pun pln pun lit pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln kwd pln pun lit pln kwd pln pun pln pun kwd kwd pun str pun pln pun pln pun str pun,155 ms,14300 KB,641
74648585,2020/3/28 17:28,coderemite,673A - Bear and Game,Python 3,Accepted,7,41,"i = input i () l = 0 for  x  in  map ( int , input (). split ()):    if  x > l + 15 : break   l = x print ( min ( 90 , l + 15 ))",pln pun pln pln pun pln pun lit kwd pln kwd pln pun pln pun pln pun pln pun pln kwd pln pun pln pun lit pun kwd pln pun pln kwd pun pln pun lit pun pln pun lit pun,109 ms,0 KB,673
