id,day,author,problem,language,ac,len,word,source,token,time,memory
23413326,2016-12-30 08:52:00,r.mustapha.amine,4A - Watermelon,Python 3,Accepted,1,16,"print ( ""YNEOS"" [ 2 ** int ( input ())% 24 < 9 :: 2 ])",kwd pun str pun lit pun pln pun pln pun lit pun lit pun lit pun,154 ms,4500 KB
42820225,2018-09-13 08:50:00,abhichomal,4A - Watermelon,Python 3,Accepted,1,14,print ( 'YNEOS' [(- 2 )** int ( input ())< 5 :: 2 ]),kwd pun str pun lit pun pln pun pln pun lit pun lit pun,248 ms,0 KB
52421801,2019-04-06 20:27:00,Rabi02,4A - Watermelon,Python 3,Accepted,1,16,print ( 'YNEOS' [ 2 ** int ( input ())% 24 < 9 :: 2 ]),kwd pun str pun lit pun pln pun pln pun lit pun lit pun lit pun,278 ms,0 KB
71756642,2020-02-24 13:15:00,amitbhosale1234567890,4A - Watermelon,Python 3,Accepted,1,14,"print ([ ""NO"" , ""YES"" ][(- 2 )** int ( input ())> 4 ])",kwd pun str pun str pun lit pun pln pun pln pun lit pun,248 ms,0 KB
73000556,2020-03-12 09:49:00,channdankumarjha,4A - Watermelon,Python 3,Accepted,1,14,"print ([ 'NO' , 'YES' ][(- 2 )** int ( input ())> 4 ])",kwd pun str pun str pun lit pun pln pun pln pun lit pun,218 ms,300 KB
64797808,2019-11-13 16:30:00,virajudaysingh,263A - Beautiful Matrix,Python 3,Accepted,4,41,"l =[ 2 , 1 , 0 , 1 , 2 ] for  i  in  l :  s = input ()   if ""1"" in  s : print ( i + l [ s . find ( ""1"" )// 2 ])",pln pun lit pun lit pun lit pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun pln kwd str kwd pln pun kwd pun pln pun pln pun pln pun pln pun str pun lit pun,248 ms,0 KB
69180488,2020-01-20 12:56:00,V.pravalika16,263A - Beautiful Matrix,Python 3,Accepted,4,41,"l =[ 2 , 1 , 0 , 1 , 2 ] for  i  in  l :  m = input ()   if ""1"" in  m : print ( i + l [ m . find ( ""1"" )// 2 ])",pln pun lit pun lit pun lit pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun pln kwd str kwd pln pun kwd pun pln pun pln pun pln pun pln pun str pun lit pun,216 ms,0 KB
72739862,2020-03-08 19:01:00,Ece_18wh1a0432,263A - Beautiful Matrix,Python 3,Accepted,4,41,"l =[ 2 , 1 , 0 , 1 , 2 ] for  i  in  l :   s = input ()    if ""1"" in  s : print ( i + l [ s . find ( ""1"" )// 2 ])",pln pun lit pun lit pun lit pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun pln kwd str kwd pln pun kwd pun pln pun pln pun pln pun pln pun str pun lit pun,218 ms,300 KB
43975574,2018-10-07 23:52:00,Cathos,263A - Beautiful Matrix,Python 3,Accepted,3,37,for  i  in  range ( 5 ):  s = input ()   if '1' in  s : print ( abs ( i - 2 )+ abs ( s . find ( '1' )// 2 - 2 )),kwd pln kwd pln pun lit pun pln pun pln pun pln kwd str kwd pln pun kwd pun pln pun pln pun lit pun pln pun pln pun pln pun str pun lit pun lit pun,248 ms,0 KB
43975454,2018-10-07 23:48:00,Cathos,263A - Beautiful Matrix,Python 3,Accepted,2,38,"for  i  in  range ( 5 ):   s = input (); print ([ '' , abs ( i - 2 )+ abs ( s . find ( '1' )// 2 - 2 )][ '1'   in  s ])",kwd pln kwd pln pun lit pun pln pun pln pun kwd pun str pun pln pun pln pun lit pun pln pun pln pun pln pun str pun lit pun lit pun str pln kwd pln pun,248 ms,0 KB
1424346,2019-03-17 21:21:00,mario56865,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  _  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,93 ms,0 KB
52384166,2019-04-06 14:25:00,Nik1999,977A - Wrong Subtraction,Python 3,Accepted,3,38,"n , k = map ( int , input (). split ()) for  i  in  range ( k ):  n = n - 1   if  n % 10   else  n // 10 print ( n )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
78657658,2020-05-01 16:33:00,amitbhosale1234567890,977A - Wrong Subtraction,Python 3,Accepted,3,38,"x , y = map ( int , input (). split ()) for  _  in  range ( y ):  x = x - 1   if  x % 10   else  x // 10 print ( x )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun lit pln kwd pln pun lit pln kwd pln pun lit kwd pun pln pun,109 ms,0 KB
47769303,2018-12-30 22:41:00,ShiSu,977A - Wrong Subtraction,Python 3,Accepted,6,43,"n , k  =  map ( int , input (). split ())   while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,109 ms,0 KB
38068139,2018-05-09 13:44:00,shella,977A - Wrong Subtraction,Python 3,Accepted,5,42,"n , k =  map ( int , input (). split ()) while ( n % 10 < k ):     k -=( n % 10 + 1 )     n = int ( n / 10 ) print ( n - k )",pln pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun lit pun pln pun pln pun pln pun lit pun lit pun pln pun pln pun pln pun lit pun kwd pun pln pun pln pun,77 ms,6900 KB
