22947929,Dec/14/2016 15:10,Yash_,16C - Monitor,PyPy 2,Accepted,186 ms,7300 KB,2016-12-14 15:10:00
35834235,Mar/02/2018 14:58,______M______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 14:58:00
35836341,Mar/02/2018 15:53,______i______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 15:53:00
35836654,Mar/02/2018 15:59,______h______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 15:59:00
35836656,Mar/02/2018 15:59,______k______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 15:59:00
35841602,Mar/02/2018 17:38,_____k_____,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 17:38:00
35841610,Mar/02/2018 17:38,_____i_____,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 17:38:00
35841895,Mar/02/2018 17:43,______n______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 17:43:00
35841918,Mar/02/2018 17:44,______u______,16C - Monitor,PyPy 2,Accepted,248 ms,28500 KB,2018-03-02 17:44:00
5634058,Jan/07/2014 22:17,shashank201101193,16C - Monitor,Python 2,Accepted,218 ms,5300 KB,2014-01-07 22:17:00
55736894,Jun/19/2019 07:49,tushusavaliya,16C - Monitor,Python 3,Accepted,109 ms,0 KB,2019-06-19 07:49:00
70518724,Feb/07/2020 20:09,jjbro,16C - Monitor,Python 3,Accepted,124 ms,0 KB,2020-02-07 20:09:00
55513863,Jun/13/2019 06:14,boboquack,16C - Monitor,Python 3,Accepted,109 ms,0 KB,2019-06-13 06:14:00
74303415,Mar/25/2020 17:58,Vasiliy_48,16C - Monitor,Python 3,Accepted,202 ms,1300 KB,2020-03-25 17:58:00
5185087,Nov/21/2013 17:28,Unlenin,16C - Monitor,Python 2,Accepted,248 ms,5300 KB,2013-11-21 17:28:00
10748156,Apr/17/2015 08:52,Lei_Xufei,16C - Monitor,Python 2,Accepted,124 ms,5200 KB,2015-04-17 08:52:00
21268157,Oct/08/2016 02:05,Amores,16C - Monitor,Python 3,Accepted,77 ms,4500 KB,2016-10-08 02:05:00
36721730,Mar/29/2018 16:34,tech96,16C - Monitor,PyPy 3,Accepted,405 ms,30600 KB,2018-03-29 16:34:00
56777785,Jul/10/2019 06:56,rubix03,16C - Monitor,Python 3,Accepted,109 ms,0 KB,2019-07-10 06:56:00
67003364,Dec/16/2019 09:50,anshuman16423,16C - Monitor,PyPy 2,Accepted,233 ms,7900 KB,2019-12-16 09:50:00
7242139,Jul/25/2014 16:24,knight-erraunt,16C - Monitor,Ruby,Accepted,62 ms,0 KB,2014-07-25 16:24:00
15261100,Jan/09/2016 00:40,merolish,16C - Monitor,Python 3,Accepted,108 ms,1200 KB,2016-01-09 00:40:00
29621701,Aug/20/2017 16:06,Qumeric,16C - Monitor,PyPy 3,Accepted,280 ms,16200 KB,2017-08-20 16:06:00
42244387,Aug/29/2018 17:23,chiefsan,16C - Monitor,Python 3,Accepted,109 ms,0 KB,2018-08-29 17:23:00
73718,Jun/08/2010 07:38,cielavenir,16C - Monitor,GNU C,Accepted,30 ms,1300 KB,2010-06-08 07:38:00
277210,Feb/08/2011 16:57,Aleksey,16C - Monitor,Python 2,Accepted,80 ms,3000 KB,2011-02-08 16:57:00
2018888,Aug/16/2012 14:06,nealzane,16C - Monitor,Python 2,Accepted,410 ms,7600 KB,2012-08-16 14:06:00
3764319,May/24/2013 17:44,lovefly1983,16C - Monitor,Python 2,Accepted,171 ms,5300 KB,2013-05-24 17:44:00
8165282,Oct/10/2014 16:23,woyeshizuile,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2014-10-10 16:23:00
36461313,Mar/21/2018 20:51,Ragwave,16C - Monitor,GNU C++14,Accepted,31 ms,3300 KB,2018-03-21 20:51:00
39667337,Jun/26/2018 09:36,asipu_pawan,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2018-06-26 09:36:00
52091191,Mar/31/2019 17:24,lil_chonk,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-03-31 17:24:00
57908580,Jul/28/2019 21:47,lopare,16C - Monitor,GNU C++11,Accepted,31 ms,0 KB,2019-07-28 21:47:00
77688443,Apr/22/2020 22:09,shamalshaikh,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2020-04-22 22:09:00
5354950,Dec/05/2013 18:52,yugle7,16C - Monitor,Python 3,Accepted,124 ms,0 KB,2013-12-05 18:52:00
39651841,Jun/25/2018 17:07,alizhou,16C - Monitor,GNU C++,Accepted,31 ms,0 KB,2018-06-25 17:07:00
46439106,Dec/01/2018 13:57,AbdelrahmanAlhaj,16C - Monitor,GNU C++14,Accepted,30 ms,0 KB,2018-12-01 13:57:00
52738226,Apr/14/2019 10:34,Raghad_M_Ka,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-04-14 10:34:00
10642661,Apr/09/2015 20:40,bryanj0410,16C - Monitor,Python 2,Accepted,124 ms,5200 KB,2015-04-09 20:40:00
53697597,May/03/2019 11:35,saghe_talaii,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-05-03 11:35:00
30911116,Oct/01/2017 17:14,lojze.zust,16C - Monitor,Python 3,Accepted,108 ms,1200 KB,2017-10-01 17:14:00
42133925,Aug/27/2018 00:13,Mk_Python_v1,16C - Monitor,Python 3,Accepted,187 ms,1100 KB,2018-08-27 00:13:00
72903,Jun/03/2010 21:28,xydinesh,16C - Monitor,Python 2,Accepted,80 ms,3000 KB,2010-06-03 21:28:00
60444054,Sep/12/2019 16:32,Extreme_,16C - Monitor,GNU C++14,Accepted,31 ms,0 KB,2019-09-12 16:32:00
53789535,May/05/2019 15:04,nour_kasier99,16C - Monitor,GNU C++14,Accepted,31 ms,200 KB,2019-05-05 15:04:00
53789706,May/05/2019 15:10,nour_kasier99,16C - Monitor,GNU C++17,Accepted,31 ms,0 KB,2019-05-05 15:10:00
37782489,May/01/2018 00:24,edge555,16C - Monitor,GNU C++17,Accepted,30 ms,3300 KB,2018-05-01 00:24:00
2791116,Dec/18/2012 18:22,ghafi007,16C - Monitor,GNU C++,Accepted,15 ms,0 KB,2012-12-18 18:22:00
