3618468,Apr/25/2013 01:18,Lebesgue,297C - Splitting the Uniqueness,Ruby,Accepted,812 ms,13200 KB,2013-04-25 01:18:00
35844032,Mar/02/2018 18:22,______M______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 18:22:00
35848559,Mar/02/2018 20:01,______i______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 20:01:00
35849032,Mar/02/2018 20:07,______k______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 20:07:00
35849055,Mar/02/2018 20:07,______h______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 20:07:00
35857498,Mar/02/2018 23:40,_____k_____,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 23:40:00
35857589,Mar/02/2018 23:44,_____i_____,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 23:44:00
35858072,Mar/02/2018 23:51,______n______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 23:51:00
35858325,Mar/02/2018 23:57,______u______,297C - Splitting the Uniqueness,Ruby,Accepted,936 ms,27000 KB,2018-03-02 23:57:00
3658906,May/01/2013 23:33,carvajal,297C - Splitting the Uniqueness,Python 2,Accepted,437 ms,16700 KB,2013-05-01 23:33:00
20822881,Sep/22/2016 20:00,Neumann,297C - Splitting the Uniqueness,Python 2,Accepted,778 ms,12100 KB,2016-09-22 20:00:00
57821202,Jul/27/2019 02:24,py_ultron,297C - Splitting the Uniqueness,GNU C++11,Accepted,186 ms,1400 KB,2019-07-27 02:24:00
3654455,Apr/30/2013 15:59,baggiojmj,297C - Splitting the Uniqueness,Python 2,Accepted,375 ms,17100 KB,2013-04-30 15:59:00
8358538,Oct/23/2014 11:06,wwt15,297C - Splitting the Uniqueness,GNU C++,Accepted,216 ms,1500 KB,2014-10-23 11:06:00
14085961,Nov/05/2015 12:54,130705009,297C - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1400 KB,2015-11-05 12:54:00
57896445,Jul/28/2019 16:47,lopare,297C - Splitting the Uniqueness,GNU C++11,Accepted,156 ms,1400 KB,2019-07-28 16:47:00
3583676,Apr/21/2013 10:35,FineSeaSaltCrystals,298E - Splitting the Uniqueness,Python 2,Accepted,484 ms,13600 KB,2013-04-21 10:35:00
17823011,May/09/2016 19:39,ITDOI,297C - Splitting the Uniqueness,GNU C++11,Accepted,342 ms,3700 KB,2016-05-09 19:39:00
48018151,Jan/06/2019 05:17,NRK7,297C - Splitting the Uniqueness,GNU C++11,Accepted,342 ms,1600 KB,2019-01-06 05:17:00
3818088,Jun/03/2013 12:59,kgcstar,298E - Splitting the Uniqueness,GNU C++,Accepted,156 ms,1500 KB,2013-06-03 12:59:00
