2098656,Sep/06/2012 05:54,xlk,32C - Flea,Ruby,Accepted,90 ms,5100 KB,2012-09-06 05:54:00
56015099,Jun/24/2019 23:32,sorry_im_smurfing,32C - Flea,Ruby,Accepted,124 ms,0 KB,2019-06-24 23:32:00
35848669,Mar/02/2018 20:02,______M______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-02 20:02:00
35855220,Mar/02/2018 22:57,______i______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-02 22:57:00
35855793,Mar/02/2018 23:07,______k______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-02 23:07:00
35855851,Mar/02/2018 23:08,______h______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-02 23:08:00
35859399,Mar/03/2018 00:18,_____k_____,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-03 00:18:00
35859469,Mar/03/2018 00:21,_____i_____,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-03 00:21:00
35859898,Mar/03/2018 00:29,______n______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-03 00:29:00
35860087,Mar/03/2018 00:34,______u______,32C - Flea,Ruby,Accepted,154 ms,6300 KB,2018-03-03 00:34:00
57182876,Jul/17/2019 10:49,yltx,32C - Flea,Ruby,Accepted,124 ms,100 KB,2019-07-17 10:49:00
75395295,Apr/03/2020 18:53,Vasiliy_48,32C - Flea,Python 3,Accepted,218 ms,0 KB,2020-04-03 18:53:00
2529194,Nov/10/2012 08:14,nealzane,32C - Flea,Python 2,Accepted,62 ms,0 KB,2012-11-10 08:14:00
29362040,Aug/11/2017 22:05,muraharum,32C - Flea,Python 3,Accepted,124 ms,4500 KB,2017-08-11 22:05:00
574630,Aug/01/2011 13:07,sevenkplus,32C - Flea,Python 2,Accepted,60 ms,2800 KB,2011-08-01 13:07:00
37915353,May/06/2018 01:10,Qumeric,32C - Flea,Python 2,Accepted,216 ms,5900 KB,2018-05-06 01:10:00
404124,Apr/21/2011 02:46,rrevenantt,32C - Flea,Python 2,Accepted,60 ms,2800 KB,2011-04-21 02:46:00
1243827,Feb/29/2012 19:08,jiangzhijie,32C - Flea,Python 2,Accepted,60 ms,2800 KB,2012-02-29 19:08:00
