27421121,May/29/2017 03:13,nealzane,799C - Fountains,Python 2,Accepted,1154 ms,3300 KB,2017-05-29 03:13:00
57769900,Jul/26/2019 02:35,py_ultron,799C - Fountains,GNU C++11,Accepted,390 ms,1200 KB,2019-07-26 02:35:00
27205503,May/19/2017 02:17,Islam_Atef,799C - Fountains,MS C++,Accepted,405 ms,1200 KB,2017-05-19 02:17:00
28365337,Jul/08/2017 12:13,toandx,799C - Fountains,MS C++,Accepted,421 ms,3000 KB,2017-07-08 12:13:00
57874763,Jul/28/2019 07:31,lopare,799C - Fountains,GNU C++11,Accepted,390 ms,1200 KB,2019-07-28 07:31:00
40012508,Jul/06/2018 00:37,vjudge1,799C - Fountains,GNU C++,Accepted,62 ms,1600 KB,2018-07-06 00:37:00
27543905,Jun/03/2017 15:28,vjudge1,799C - Fountains,GNU C++,Accepted,46 ms,800 KB,2017-06-03 15:28:00
49477995,Feb/04/2019 23:29,TShT#,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2019-02-04 23:29:00
27546980,Jun/03/2017 17:38,jiangyifan,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-06-03 17:38:00
27660616,Jun/08/2017 03:36,I_Love_Umirzhanova_Amina,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-06-08 03:36:00
64108643,Nov/02/2019 20:43,Umi,799C - Fountains,GNU C++17,Accepted,296 ms,800 KB,2019-11-02 20:43:00
28502289,Jul/13/2017 15:35,teitoku,799C - Fountains,GNU C++14,Accepted,405 ms,3100 KB,2017-07-13 15:35:00
27543873,Jun/03/2017 15:27,vjudge3,799C - Fountains,GNU C++,Accepted,46 ms,800 KB,2017-06-03 15:27:00
33858360,Jan/02/2018 08:50,yongwhan,799C - Fountains,GNU C++14,Accepted,312 ms,2900 KB,2018-01-02 08:50:00
40047971,Jul/07/2018 04:28,vjudge2,799C - Fountains,GNU C++,Accepted,61 ms,800 KB,2018-07-07 04:28:00
27044374,May/12/2017 04:10,yashChandnani,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-12 04:10:00
27551612,Jun/03/2017 23:24,smartnj,799C - Fountains,GNU C++14,Accepted,296 ms,1200 KB,2017-06-03 23:24:00
27021275,May/11/2017 19:04,KeyID,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-11 19:04:00
33857981,Jan/02/2018 08:01,vjudge3,799C - Fountains,GNU C++11,Accepted,405 ms,3000 KB,2018-01-02 08:01:00
41130277,Aug/02/2018 19:54,Ali_Pi#,799C - Fountains,Python 2,Accepted,467 ms,11500 KB,2018-08-02 19:54:00
34576436,Jan/26/2018 16:12,ZhihuiLiu,799C - Fountains,GNU C++14,Accepted,62 ms,2600 KB,2018-01-26 16:12:00
27090677,May/13/2017 16:48,gongy,799C - Fountains,GNU C++11,Accepted,46 ms,1600 KB,2017-05-13 16:48:00
45447030,Nov/08/2018 16:56,hotwords,799C - Fountains,GNU C++11,Accepted,61 ms,600 KB,2018-11-08 16:56:00
27048068,May/12/2017 09:26,eugalt,799C - Fountains,Python 3,Accepted,390 ms,8900 KB,2017-05-12 09:26:00
27099967,May/14/2017 06:32,erfre,799C - Fountains,GNU C++14,Accepted,62 ms,800 KB,2017-05-14 06:32:00
27071523,May/13/2017 11:35,WickedGame,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-13 11:35:00
72012862,Feb/28/2020 07:10,yoddhaa,799C - Fountains,GNU C++17,Accepted,62 ms,800 KB,2020-02-28 07:10:00
27093262,May/13/2017 19:04,vjudge5,799C - Fountains,GNU C++,Accepted,61 ms,800 KB,2017-05-13 19:04:00
27119525,May/15/2017 13:38,Raqiah,799C - Fountains,GNU C++11,Accepted,46 ms,800 KB,2017-05-15 13:38:00
27098574,May/14/2017 03:20,eugalt,799C - Fountains,Python 3,Accepted,561 ms,9600 KB,2017-05-14 03:20:00
27047658,May/12/2017 08:56,eugalt,799C - Fountains,Python 3,Accepted,498 ms,8900 KB,2017-05-12 08:56:00
27056104,May/12/2017 17:14,eugalt,799C - Fountains,Python 3,Accepted,405 ms,8900 KB,2017-05-12 17:14:00
53664708,May/02/2019 12:41,vjudge4,799C - Fountains,GNU C++17,Accepted,1996 ms,1600 KB,2019-05-02 12:41:00
27044221,May/12/2017 03:53,oipotato,799C - Fountains,GNU C++,Accepted,62 ms,1600 KB,2017-05-12 03:53:00
70906001,Feb/12/2020 20:09,_dark_side,799C - Fountains,GNU C++11,Accepted,280 ms,1200 KB,2020-02-12 20:09:00
42141418,Aug/27/2018 08:46,Mk_Python_v1,799C - Fountains,Python 3,Accepted,701 ms,9400 KB,2018-08-27 08:46:00
27205908,May/19/2017 03:43,Manchery#,799C - Fountains,GNU C++11,Accepted,46 ms,600 KB,2017-05-19 03:43:00
27097778,May/14/2017 01:06,eugalt,799C - Fountains,Python 3,Accepted,607 ms,9800 KB,2017-05-14 01:06:00
48889836,Jan/24/2019 16:41,scottaran9,799C - Fountains,GNU C++17,Accepted,296 ms,1800 KB,2019-01-24 16:41:00
27998987,Jun/24/2017 09:50,IcyGirl#,799C - Fountains,GNU C++11,Accepted,62 ms,4600 KB,2017-06-24 09:50:00
27047096,May/12/2017 08:11,denny_sem,799C - Fountains,PyPy 3,Accepted,1294 ms,8000 KB,2017-05-12 08:11:00
27047595,May/12/2017 08:52,eugalt,799C - Fountains,Python 3,Accepted,404 ms,8900 KB,2017-05-12 08:52:00
27047819,May/12/2017 09:08,eugalt,799C - Fountains,Python 3,Accepted,389 ms,8900 KB,2017-05-12 09:08:00
27097720,May/14/2017 00:57,eugalt,799C - Fountains,Python 3,Accepted,592 ms,9000 KB,2017-05-14 00:57:00
