2040788,Aug/21/2012 20:46,nealzane,79C - Beaver,Python 2,Accepted,1050 ms,4600 KB,2012-08-21 20:46:00
56016813,Jun/25/2019 01:00,sorry_im_smurfing,79C - Beaver,Python 2,Accepted,1122 ms,1700 KB,2019-06-25 01:00:00
35890888,Mar/03/2018 18:02,______i______,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 18:02:00
35891679,Mar/03/2018 18:16,______k______,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 18:16:00
35891680,Mar/03/2018 18:16,______h______,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 18:16:00
35897398,Mar/03/2018 20:53,_____i_____,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 20:53:00
35897580,Mar/03/2018 20:59,______n______,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 20:59:00
35897903,Mar/03/2018 21:09,_____k_____,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 21:09:00
35897964,Mar/03/2018 21:11,______u______,79C - Beaver,Python 2,Accepted,1090 ms,6200 KB,2018-03-03 21:11:00
653846,Aug/31/2011 19:24,Berestinsky,79C - Beaver,Python 2,Accepted,560 ms,3000 KB,2011-08-31 19:24:00
55116204,Jun/05/2019 11:47,cheaternn2103,79C - Beaver,GNU C++14,Accepted,92 ms,300 KB,2019-06-05 11:47:00
57905523,Jul/28/2019 20:27,lopare,79C - Beaver,GNU C++11,Accepted,124 ms,300 KB,2019-07-28 20:27:00
55116102,Jun/05/2019 11:43,hung01062003,79C - Beaver,GNU C++17,Accepted,122 ms,300 KB,2019-06-05 11:43:00
841249,Nov/08/2011 15:30,moldot,79C - Beaver,Python 2,Accepted,560 ms,4400 KB,2011-11-08 15:30:00
55116822,Jun/05/2019 12:02,tin8doan,79C - Beaver,GNU C++11,Accepted,92 ms,300 KB,2019-06-05 12:02:00
55114432,Jun/05/2019 10:59,cheaternn2103,79C - Beaver,GNU C++14,Accepted,92 ms,300 KB,2019-06-05 10:59:00
